User-ID,Location,Age,Rating Count,Average Rating
7913,"mission hills, california, usa",43.0,6.0,6.333333333333333
7915,"st. paul, minnesota, usa",,10.0,8.2
7958,"oeiras, lisbon, portugal",27.0,8.0,9.125
7980,"cambridge, massachusetts, usa",34.0,5.0,7.6
8019,"toronto, ontario, canada",,10.0,8.1
8066,"chicago, illinois, usa",,8.0,8.0
8067,"owings mills, maryland, usa",26.0,8.0,7.875
8245,"torrance, california, usa",31.0,18.0,8.5
8253,"tulsa, oklahoma, usa",26.0,25.0,9.28
8362,"los angeles, california, usa",28.0,8.0,7.625
8454,"auburndale, massachusetts, usa",,19.0,7.631578947368421
8681,"orlando, florida, usa",34.0,35.0,8.2
8695,"redding, california, usa",,6.0,8.5
8734,"chula vista, california, usa",,9.0,7.777777777777778
8782,"calgary, alberta, canada",239.0,5.0,9.6
8801,"san francisco, california, usa",24.0,7.0,7.857142857142857
8872,"athens, georgia, usa",65.0,5.0,8.6
8936,"elizabeth city, north carolina, usa",18.0,8.0,8.5
8971,"berlin, berlin, germany",27.0,6.0,7.333333333333333
9227,"glendora, california, usa",24.0,7.0,8.0
9417,"whitby, ontario, canada",26.0,15.0,6.133333333333334
9747,"o`fallon, missouri, usa",,8.0,8.5
9856,"glendale, colorado, usa",22.0,12.0,7.25
10118,"minneapolis, minnesota, usa",44.0,5.0,9.8
10199,"eltham, victoria, australia",17.0,5.0,8.4
10241,"avon, massachusetts, usa",27.0,5.0,6.0
10314,"beaverton, oregon, usa",,12.0,6.833333333333333
10354,"martinsburg, west virginia, usa",15.0,6.0,7.833333333333333
10447,"chicago, illinois, usa",,12.0,7.25
10560,"chicago, illinois, usa",27.0,5.0,9.2
10660,"luzern, luzern, switzerland",37.0,5.0,8.6
10819,"richmond, kentucky, usa",27.0,9.0,8.88888888888889
10949,"columbia, tennessee, usa",,5.0,6.8
11224,"tumwater, washington, usa",51.0,12.0,5.916666666666667
11245,"scarborough, ontario, canada",,7.0,7.142857142857143
11400,"ottawa, ontario, canada",49.0,6.0,7.333333333333333
11601,"brooklyn, new york, usa",,10.0,9.4
11629,"houston, texas, usa",21.0,5.0,8.0
11657,"cincinnati, ohio, usa",25.0,5.0,5.6
11718,"reno, nevada, usa",,10.0,8.3
11788,"jenks, oklahoma, usa",30.0,6.0,8.0
11944,"santo tirso, porto, portugal",21.0,5.0,6.8
11993,"lakewood, colorado, usa",37.0,13.0,8.923076923076923
12100,"quezon city, national capital region, philippines",26.0,15.0,7.0
12538,"byron, minnesota, usa",18.0,22.0,7.909090909090909
12824,"long beach, california, usa",18.0,8.0,6.75
12982,"getxo, vizcaya, spain",41.0,34.0,8.117647058823529
13273,"harrisburg, pennsylvania, usa",201.0,13.0,8.076923076923077
13279,"moodus, connecticut, usa",,6.0,7.5
13551,"raleigh, north carolina, usa",,7.0,9.571428571428571
13552,"cordova, tennessee, usa",32.0,45.0,8.2
13582,"lisboa, lisboa, portugal",29.0,7.0,8.714285714285714
13664,"escondido, california, usa",,5.0,7.2
13666,"tinley park, illinois, usa",54.0,5.0,7.6
13682,"monroe, louisiana, usa",31.0,7.0,8.857142857142858
13850,"online, n/a, usa",28.0,8.0,8.75
13995,"adelaide, south australia, australia",,5.0,7.4
14079,"valencia, valencia, spain",41.0,5.0,8.8
14387,"coalville, leicestershire, england, united kingdom",35.0,6.0,8.666666666666666
14422,"apple valley, minnesota, usa",,21.0,7.904761904761905
14456,"edmonton, alberta, canada",27.0,6.0,8.666666666666666
14521,"providence, rhode island, usa",,14.0,7.357142857142857
14667,"rocky mount, missouri, usa",,8.0,8.5
14698,"upstate, new york, usa",,8.0,7.0
15021,"lake mary, florida, usa",37.0,6.0,6.666666666666667
15049,"benbrook, texas, usa",28.0,5.0,8.4
15408,"cary, north carolina, usa",34.0,8.0,7.0
15418,"vitoria, álava, spain",23.0,8.0,6.75
15602,"cherry hill, new jersey, usa",21.0,13.0,8.923076923076923
15670,"round rock, texas, usa",,8.0,8.5
15819,"grapevine, texas, usa",,6.0,7.833333333333333
15945,"charlotte, north carolina, usa",36.0,7.0,8.142857142857142
16009,"stratford, new jersey, usa",25.0,5.0,6.8
16010,"carlinville, illinois, usa",,5.0,7.6
16106,"albany, california, usa",44.0,12.0,8.75
16246,"kitakyushu, fukuoka, japan",32.0,5.0,7.0
16263,"ashland, wisconsin, usa",,8.0,6.875
16488,"milwaukee, wisconsin, usa",36.0,10.0,7.7
16504,"kuching, sarawak, malaysia",28.0,5.0,8.4
16545,"berkeley, california, usa",,7.0,7.428571428571429
16634,"little rock, arkansas, usa",42.0,48.0,8.4375
16718,"houston, texas, usa",29.0,5.0,9.0
16795,"mechanicsville, maryland, usa",47.0,123.0,7.439024390243903
16908,"chicago, illinois, usa",55.0,5.0,5.0
16916,"hackettstown, new jersey, usa",53.0,8.0,9.625
16966,"waterloo, ontario, canada",41.0,18.0,7.611111111111111
16996,"stratford, iowa, usa",23.0,6.0,8.333333333333334
17003,"carlsbad, california, usa",,13.0,8.615384615384615
17183,"zaragoza, zaragoza, spain",23.0,8.0,6.75
17190,"woodstock, georgia, usa",31.0,8.0,9.375
17667,"iowa city, iowa, usa",33.0,14.0,7.071428571428571
17859,"roanoke, virginia, usa",43.0,8.0,9.0
17950,"puchong, selangor, malaysia",32.0,31.0,6.290322580645161
18067,"kajang, selangor, malaysia",33.0,8.0,5.25
18082,"southern, california, usa",38.0,8.0,8.25
18439,"folsom, california, usa",38.0,5.0,8.6
19085,"menomonie, wisconsin, usa",60.0,32.0,8.125
19493,"baldwin, ,",,5.0,9.2
19664,"katonah, new york, usa",19.0,5.0,7.0
19711,"katy, texas, usa",,9.0,6.666666666666667
19842,"***********, illinois, usa",,5.0,7.8
19969,"antelope, california, usa",44.0,5.0,7.0
20060,"baltimore, maryland, usa",48.0,11.0,8.454545454545455
20172,"saratoga springs, utah, usa",27.0,13.0,8.76923076923077
20180,"sacramento, california, usa",36.0,9.0,8.666666666666666
20265,"tampa, florida, usa",29.0,7.0,8.714285714285714
20462,"bossier city, louisiana, usa",,7.0,7.428571428571429
20680,"los angeles, california, usa",41.0,8.0,7.0
20971,"sacramento, california, usa",20.0,6.0,6.833333333333333
21011,"san francisco, california, usa",44.0,11.0,8.181818181818182
21014,"fresno, california, usa",,58.0,7.862068965517241
21031,"alexandria, virginia, usa",36.0,8.0,7.75
21356,"westwood, new jersey, usa",56.0,6.0,6.0
21364,"san diego, california, usa",32.0,10.0,6.4
21404,"west vancouver, british columbia, canada",,14.0,7.642857142857143
21484,"madison, wisconsin, usa",21.0,8.0,7.875
21575,"albuquerque, new mexico, usa",14.0,5.0,6.0
21576,"memphis, tennessee, usa",31.0,14.0,7.357142857142857
21618,"atlanta, georgia, usa",24.0,5.0,8.8
21659,"san jose, california, usa",31.0,15.0,8.8
21895,"olyphant, pennsylvania, usa",16.0,5.0,7.8
21930,"elk grove, california, usa",28.0,5.0,4.6
22045,"sacramento, california, usa",,8.0,8.875
22074,"san luis obispo, california, usa",,13.0,7.846153846153846
22521,"montgomery, alabama, usa",18.0,10.0,7.8
22625,"lynbrook, new york, usa",54.0,26.0,9.538461538461538
22657,"coeur d`alene, idaho, usa",,5.0,8.0
22813,"grimsby, ontario, canada",,5.0,9.0
22936,"raleigh, north carolina, usa",23.0,5.0,8.8
23020,"brooklyn, new york, usa",28.0,5.0,9.6
23511,"chapel hill, north carolina, usa",56.0,11.0,8.909090909090908
23571,"burbank, california, usa",41.0,10.0,9.6
23699,"minneapolis, minnesota, usa",25.0,8.0,9.625
23768,"st. louis, missouri, usa",45.0,20.0,7.45
23771,"ogden, utah, usa",,7.0,7.857142857142857
23872,"tulsa, oklahoma, usa",22.0,46.0,8.108695652173912
23902,"london, england, united kingdom",,176.0,7.9147727272727275
24186,"vineland, new jersey, usa",36.0,6.0,8.333333333333334
24194,"palos hills, illinois, usa",20.0,8.0,8.625
24427,"lafayette, new york, usa",,5.0,6.6
24433,"deventer, overijssel, netherlands",37.0,9.0,8.222222222222221
24515,"jacksonville, florida, usa",28.0,5.0,10.0
24921,"higley, arizona, usa",29.0,14.0,8.428571428571429
24933,"long island, new york, usa",44.0,16.0,7.4375
25131,"grimes, iowa, usa",,7.0,8.142857142857142
25395,"moyock, north carolina, usa",65.0,8.0,8.5
25409,"la mesa, california, usa",31.0,15.0,8.533333333333333
25533,"derby, derbyshire, united kingdom",38.0,8.0,8.125
25545,"hollsopple, pennsylvania, usa",33.0,7.0,5.857142857142857
25583,"worcester, massachusetts, usa",,7.0,7.857142857142857
25601,"gilbert, arizona, usa",41.0,10.0,7.6
25919,"evansville, indiana, usa",,7.0,9.0
25930,"hillsborough, new jersey, usa",,5.0,7.0
25981,"nj, new jersey, usa",,53.0,5.660377358490566
25996,"cave creek, arizona, usa",36.0,5.0,7.8
26057,"halifax, nova scotia, canada",18.0,5.0,8.2
26231,"st. thomas, ontario, canada",36.0,6.0,6.166666666666667
26240,"sacramento, california, usa",,8.0,6.5
26544,"woodbridge, virginia, usa",37.0,7.0,8.285714285714286
26553,"charlottesville, virginia, usa",,7.0,6.857142857142857
26611,"mckinney, texas, usa",,5.0,6.0
26620,"napa, california,",,5.0,7.6
26621,"haskell, new jersey, usa",,10.0,7.0
26756,"willowick, ohio, usa",35.0,5.0,8.6
26883,"vienna, vienna, austria",,8.0,7.625
27204,"auburndale, florida, usa",18.0,5.0,9.8
27313,"miami, florida, usa",14.0,6.0,9.666666666666666
27352,"st. louis, missouri, usa",,5.0,10.0
27472,"bountiful, utah, usa",41.0,23.0,7.6521739130434785
27617,"beaverton, ontario, canada",32.0,8.0,8.125
27647,"lisboa, lisboa, portugal",,15.0,7.266666666666667
27740,"san diego, , usa",57.0,11.0,7.363636363636363
27812,"long beach, california, usa",33.0,7.0,8.142857142857142
28016,"port clinton, ohio, usa",31.0,5.0,8.0
28144,"orlando, florida, usa",,8.0,5.125
28150,"portland, oregon, usa",25.0,5.0,8.6
28177,"grand rapids, michigan, usa",26.0,15.0,7.533333333333333
28204,"south ohio, nova scotia, canada",61.0,9.0,8.444444444444445
28255,"richmond hill, ,",23.0,7.0,6.857142857142857
28523,"springfield, missouri, usa",24.0,5.0,9.2
28634,"bad axe, michigan, usa",28.0,28.0,9.142857142857142
28667,"norwood, massachusetts, usa",26.0,7.0,4.142857142857143
28735,"hannover, niedersachsen, germany",58.0,5.0,7.8
29028,"scarsdale, new york, usa",28.0,5.0,6.0
29209,"boca raton, florida, usa",,11.0,7.2727272727272725
29259,"mt. airy, , usa",39.0,14.0,9.0
29526,"knoxville, tennessee, usa",26.0,16.0,9.5625
30022,"queens village, new york, usa",37.0,7.0,7.571428571428571
30035,"vancouver, british columbia, canada",37.0,5.0,6.0
30052,"minneapolis, minnesota, usa",,8.0,6.375
30081,"east providence, rhode island, usa",25.0,9.0,8.11111111111111
30276,"wildwood, new jersey, usa",49.0,22.0,7.136363636363637
30333,"ogallala, nebraska, usa",,6.0,5.0
30445,"kuala lumpur, ,",23.0,7.0,9.142857142857142
30487,"newbury park, california, usa",40.0,15.0,7.466666666666667
30495,"charleston, south carolina, usa",19.0,5.0,9.6
30511,"culemborg, gelderland, netherlands",,54.0,7.055555555555555
30531,"st. petersburg, florida, usa",23.0,6.0,9.333333333333334
30533,"charleston, south carolina, usa",,23.0,8.08695652173913
30594,"redding, , usa",25.0,7.0,7.857142857142857
30667,"salem, virginia, usa",24.0,7.0,8.285714285714286
30711,"sydney, new south wales, australia",32.0,24.0,7.708333333333333
30735,"corvallis, oregon, usa",,15.0,8.666666666666666
30806,"halifax, nova scotia, canada",24.0,5.0,6.8
30810,"berlin, berlin, germany",,7.0,8.857142857142858
30898,"richmond, virginia, usa",43.0,6.0,6.166666666666667
30968,"poway, california, usa",65.0,5.0,8.0
30972,"columbiana, alabama, usa",47.0,19.0,7.947368421052632
30985,"cape coral, florida, usa",,9.0,7.0
30994,"mission hills, california, usa",,17.0,9.352941176470589
31094,"cleveland, wisconsin, usa",,5.0,7.0
31315,"henryville, indiana, usa",34.0,62.0,8.46774193548387
31343,"mesa, arizona, usa",75.0,6.0,9.0
31391,"wilmington, massachusetts, usa",38.0,9.0,8.11111111111111
31393,"portland, oregon, usa",,12.0,7.583333333333333
31471,"livingston, louisiana, usa",,7.0,8.428571428571429
31556,"chula vista, california, usa",51.0,28.0,7.928571428571429
31826,"jasper, missouri, usa",54.0,68.0,9.882352941176471
31846,"phoenix, , usa",,6.0,8.333333333333334
31950,"canberra, australian capital territory, australia",34.0,6.0,8.166666666666666
32188,"st. louis, missouri, usa",51.0,6.0,8.666666666666666
32195,"fall river, massachusetts, usa",,7.0,6.428571428571429
32250,"gta, ontario, canada",29.0,7.0,8.428571428571429
32440,"dunedin, otago, new zealand",,19.0,8.0
32599,"york, south carolina, usa",17.0,14.0,8.0
32721,"toulouse, haute-garonne, france",36.0,10.0,8.0
32773,"olathe, kansas, usa",28.0,23.0,8.130434782608695
32802,"courtenay, british columbia, canada",,10.0,6.9
33124,"london, ontario, canada",,11.0,8.0
33179,"freedonia, emilia romagna, antarctica",,6.0,9.333333333333334
33283,"winnipeg, manitoba, canada",26.0,6.0,8.5
33319,"calgary, alberta, canada",24.0,9.0,8.444444444444445
33816,"richmond hill, ontario, canada",33.0,6.0,7.333333333333333
33818,"winnipeg, manitoba, canada",29.0,17.0,8.294117647058824
33832,"sterling, virginia, usa",,5.0,6.0
33862,"abingdon, maryland, usa",,7.0,6.142857142857143
33933,"hull, massachusetts, usa",35.0,8.0,7.875
33974,"barnhart, missouri, usa",24.0,7.0,8.571428571428571
33999,"pittsburgh, pennsylvania, usa",51.0,6.0,8.5
34300,"burlington, ontario, canada",35.0,10.0,5.8
34588,"west linn, oregon, usa",,13.0,7.461538461538462
34932,"portland, oregon, usa",,7.0,6.714285714285714
35320,"melbourne, victoria, australia",24.0,6.0,8.333333333333334
35445,"terre haute, indiana, usa",31.0,8.0,7.0
35704,"kansas city, missouri, usa",53.0,12.0,7.666666666666667
35836,"rochester, new york, usa",34.0,26.0,4.846153846153846
35857,"mentor, ohio, usa",36.0,15.0,6.066666666666666
35859,"duluth, minnesota, usa",,74.0,7.486486486486487
35918,"reno, nevada, usa",,9.0,8.222222222222221
36003,"shah alam, selangor, malaysia",26.0,11.0,8.727272727272727
36135,"charleston, south carolina, usa",,9.0,8.88888888888889
36157,"austin, texas, usa",,6.0,7.666666666666667
36256,"amarillo, texas, usa",39.0,6.0,8.0
36299,"austin, texas, usa",50.0,5.0,6.2
36327,"wirtz, virginia, usa",,8.0,8.5
36554,"carrboro, north carolina, usa",48.0,7.0,9.285714285714286
36606,"san marcos, california, usa",39.0,29.0,7.0344827586206895
36609,"zachary, louisiana, usa",32.0,6.0,7.666666666666667
36715,"lexington, kentucky, usa",,10.0,8.5
36807,"wisconsin rapids, wisconsin, usa",27.0,10.0,5.9
36817,"south hadley, massachusetts, usa",29.0,5.0,5.8
36836,"raleigh, north carolina, usa",56.0,6.0,9.833333333333334
36907,"dunnville, ontario, canada",39.0,36.0,9.555555555555555
36938,"saint paul, minnesota, usa",43.0,5.0,8.4
36978,"monrovia, maryland, usa",,6.0,7.166666666666667
37030,"la monte, missouri, usa",42.0,5.0,10.0
37168,"bakersfield, california, usa",46.0,7.0,9.857142857142858
37227,"hamilton, ohio, usa",27.0,7.0,9.0
37239,"the colony, texas, usa",,5.0,8.4
37293,"whitehorse, yukon territory, canada",41.0,8.0,7.5
37311,"oroville, california, usa",,5.0,8.0
37400,"portland, oregon, usa",27.0,15.0,7.133333333333334
37538,"kuala lumpur, n/a, malaysia",,14.0,8.142857142857142
37644,"sudbury, massachusetts, usa",18.0,19.0,7.947368421052632
37712,"cincinnati, ohio, usa",23.0,43.0,8.162790697674419
37874,"williamsburg, virginia, usa",43.0,9.0,8.0
37950,"calgary, alberta, canada",,53.0,7.679245283018868
37989,"union city, california, usa",57.0,6.0,8.666666666666666
38023,"hayward, california, usa",30.0,25.0,8.96
38176,"harleysville, pennsylvania, usa",,5.0,6.0
38273,"chandler, arizona, usa",,14.0,7.071428571428571
38281,"barcelona, catalunya, spain",33.0,14.0,7.785714285714286
38544,"newark, delaware, usa",34.0,6.0,7.666666666666667
38556,"edmonton, alberta, canada",,11.0,5.181818181818182
38654,"kitchener, ontario, canada",17.0,6.0,8.166666666666666
38703,"greer, south carolina, usa",49.0,7.0,8.857142857142858
38933,"san diego, california, usa",37.0,5.0,8.0
39227,"san diego, california, usa",37.0,10.0,8.0
39281,"morris plains, new jersey, usa",45.0,17.0,8.529411764705882
39345,"jacksonville, florida, usa",47.0,13.0,8.0
39396,"bonn, nordrhein-westfalen, germany",20.0,8.0,8.875
39467,"barcelona, catalunya, spain",35.0,16.0,8.25
39513,"red deer, alberta, canada",,5.0,8.6
39616,"las vegas, nevada, usa",38.0,6.0,8.333333333333334
39646,"fairless hills, pennsylvania, usa",35.0,5.0,7.8
39773,"miami, florida, usa",49.0,15.0,9.266666666666667
40330,"germantown, maryland, usa",,6.0,8.333333333333334
40415,"san francisco, california, usa",34.0,11.0,6.636363636363637
40505,"kalamazoo, ,",,5.0,6.6
40888,"lethbridge, alberta, canada",49.0,7.0,8.857142857142858
40889,"brainerd, minnesota, usa",37.0,22.0,7.7727272727272725
40943,"oklahoma city, oklahoma, usa",40.0,17.0,9.647058823529411
41080,"stow, massachusetts, usa",,5.0,7.0
41084,"orlando, florida, usa",36.0,22.0,8.0
41111,"new york, new york, usa",25.0,8.0,9.125
41403,"san francisco, california, usa",,6.0,7.166666666666667
41450,"denver, colorado, usa",,5.0,7.4
41455,"toronto, ontario, canada",,12.0,6.333333333333333
41589,"bellingham, washington, usa",51.0,7.0,8.571428571428571
41781,"clinton twp., michigan, usa",54.0,11.0,7.7272727272727275
41841,"sherwood park, alberta, canada",,21.0,6.666666666666667
42093,"fair haven, new jersey, usa",50.0,12.0,8.416666666666666
42099,"st. louis, missouri, usa",47.0,6.0,10.0
42419,"west seneca, new york, usa",33.0,6.0,9.0
42458,"north york, ontario, canada",47.0,8.0,8.75
42597,"san pedro, california, usa",52.0,8.0,8.5
42914,"clarksville, indiana, usa",26.0,10.0,7.5
43006,"portland, maine, usa",29.0,10.0,7.8
43021,"carbondale, illinois, usa",,5.0,7.2
43246,"toronto, ontario, canada",36.0,38.0,8.868421052631579
43481,"bridgewater, connecticut, usa",57.0,7.0,7.142857142857143
43619,"shrewsbury, massachusetts, usa",26.0,13.0,8.307692307692308
43626,"matamoras, pennsylvania, usa",41.0,5.0,7.0
43687,"sacramento, california, usa",27.0,12.0,7.833333333333333
43806,"delano, minnesota, usa",31.0,5.0,9.6
43842,"tucson, ,",,19.0,8.157894736842104
43910,"granada hills, california, usa",43.0,19.0,8.368421052631579
44089,"leduc, ,",,5.0,7.0
44252,"fairview, new jersey, usa",28.0,14.0,9.142857142857142
44611,"cary, north carolina, usa",20.0,5.0,8.4
44663,"klang, selangor, malaysia",,5.0,7.6
44845,"dallas, texas, usa",29.0,5.0,9.2
44852,"spring, texas, usa",39.0,7.0,7.0
44893,"alexandria, virginia, usa",,16.0,7.6875
45107,"montgomery twp, pennsylvania, usa",,6.0,9.5
45315,"ada, michigan, usa",,12.0,6.0
45340,"canton, ohio, usa",,5.0,8.4
45391,"littleton, colorado, usa",23.0,5.0,7.8
45418,"dingmans ferry, pennsylvania, usa",51.0,11.0,7.090909090909091
45471,"venice, california, usa",,5.0,7.2
45557,"flossmoor, illinois, usa",33.0,8.0,8.75
45879,"sebastopol, california, usa",,6.0,7.0
46269,"recife, pernambuco, brazil",26.0,5.0,8.6
46398,"san antonio, texas, usa",37.0,59.0,7.983050847457627
46443,"asheville, north carolina, usa",14.0,11.0,8.727272727272727
46671,"chery hill, new jersey, usa",49.0,8.0,7.375
46892,"northridge, california, usa",35.0,12.0,5.083333333333333
46907,"marysville, washington, usa",,6.0,8.666666666666666
46909,"howell, new jersey, usa",31.0,12.0,8.166666666666666
47118,"ellensburg, washington, usa",42.0,6.0,7.833333333333333
47128,"elmhurst, illinois, usa",33.0,6.0,8.666666666666666
47152,"blair, nebraska, usa",33.0,6.0,8.666666666666666
47316,"comanche, texas, usa",,19.0,8.052631578947368
47512,"melzo, lombardia, italy",28.0,7.0,5.0
47609,"lubbock, texas, usa",34.0,6.0,8.166666666666666
47779,"webster, new york, usa",,5.0,9.2
47793,"natick, massachusetts, usa",,5.0,8.6
47856,"ottawa, ontario, canada",32.0,6.0,8.166666666666666
47971,"toronto, ontario, canada",40.0,8.0,8.5
48025,"concordia, missouri, usa",43.0,34.0,8.176470588235293
48046,"central sq., new york, usa",,17.0,8.058823529411764
48213,"san mateo, california, usa",,5.0,6.0
48217,"portland, oregon, usa",40.0,8.0,8.875
48268,"vienna, vienna, austria",18.0,7.0,7.857142857142857
48355,"florence, arizona, usa",35.0,18.0,7.166666666666667
48494,"lemon grove, california, usa",51.0,19.0,8.052631578947368
48911,"new orleans, louisiana, usa",57.0,5.0,10.0
48975,"beaver dams, new york, usa",,8.0,7.375
49109,"west jordan, utah, usa",38.0,11.0,7.454545454545454
49155,"barcelona, ,",26.0,6.0,8.333333333333334
49212,"san francisco, california, usa",38.0,16.0,7.9375
49225,"medina, ohio, usa",,8.0,8.25
49392,"boston, massachusetts, usa",28.0,7.0,7.714285714285714
49422,"regensburg, bayern, germany",,10.0,7.5
49460,"., kansas, usa",37.0,11.0,8.0
49771,"san antonio, texas,",35.0,8.0,8.25
49889,"orem, utah, usa",,9.0,8.666666666666666
49980,"new hartford, new york, usa",27.0,11.0,9.272727272727273
50073,"south portland, maine, usa",,5.0,8.8
50141,"minneapolis, minnesota, usa",58.0,6.0,7.5
50204,"lebanon, pennsylvania, usa",36.0,5.0,8.0
50225,"fresno, california, usa",,9.0,7.555555555555555
50681,"asheville, north carolina, usa",50.0,8.0,6.75
50730,"mcallen, texas, usa",,5.0,6.2
50849,"prince albert, saskatchewan, canada",52.0,5.0,8.2
50895,"calverton, new york, usa",,20.0,7.85
51252,"yucca valley, california, usa",,10.0,7.6
51350,"monroe, ,",,7.0,9.142857142857142
51365,"shelbyville, kentucky, usa",48.0,11.0,8.454545454545455
51450,"lawrenceville, georgia, usa",54.0,5.0,8.6
51526,"long beach, california, usa",34.0,11.0,7.181818181818182
51742,"brooklyn, new york, usa",,11.0,7.818181818181818
51803,"brantford, ontario, canada",34.0,9.0,6.555555555555555
51883,"jasper, missouri, usa",31.0,25.0,8.6
51992,"west fairlee, vermont, usa",43.0,9.0,8.88888888888889
52159,"richmond, california, usa",49.0,6.0,7.333333333333333
52175,"johnstown, pennsylvania, usa",,5.0,7.4
52199,"houston, texas, usa",47.0,18.0,8.61111111111111
52256,"duluth, minnesota, usa",17.0,7.0,7.0
52350,"lisboa, n/a, portugal",31.0,6.0,8.0
52521,"safety harbor, florida, usa",38.0,7.0,10.0
52584,"livermore, california, usa",45.0,27.0,7.703703703703703
52807,"three hills, alberta, canada",38.0,5.0,8.2
52853,"yuba city, california, usa",61.0,12.0,7.916666666666667
52917,"bellevue, washington, usa",42.0,18.0,6.777777777777778
53174,"orlando, florida, usa",29.0,27.0,9.185185185185185
53220,"fullerton, california, usa",36.0,24.0,9.0
53241,"hillsborough, new jersey, usa",,7.0,8.142857142857142
53256,"sterlington, louisiana, usa",21.0,8.0,8.75
53278,"toronto, ontario, canada",34.0,9.0,7.777777777777778
53304,"south burlington, vermont, usa",52.0,5.0,8.8
53392,"minneapolis, minnesota, usa",34.0,5.0,9.2
53418,"puyallup, washington, usa",28.0,9.0,7.666666666666667
53456,"ne portland, oregon,",,6.0,7.833333333333333
53605,"davao, davao del sur, philippines",17.0,6.0,6.666666666666667
53614,"barreiro, barreiro, portugal",30.0,15.0,9.2
53628,"brest, bretagne, france",22.0,6.0,9.333333333333334
53663,"baltimore, maryland, usa",51.0,5.0,9.8
53729,"balingup, western australia, australia",,12.0,7.5
53846,"bloomington, indiana, usa",55.0,5.0,8.2
54335,"north haven, connecticut, usa",43.0,11.0,8.272727272727273
54622,"kuala lumpur, federal territory, malaysia",,15.0,7.066666666666666
54652,"lake charles, louisiana, usa",30.0,7.0,6.857142857142857
54884,"nashua, new hampshire, usa",33.0,6.0,8.833333333333334
55027,"burlington, north carolina, usa",44.0,8.0,7.0
55075,"seattle, washington, usa",33.0,10.0,7.8
55097,"greenville, illinois, usa",,6.0,6.5
55187,"torrance, california, usa",48.0,20.0,8.25
55197,"narre warren, victoria,",37.0,5.0,5.8
55398,"cheyenne, oklahoma, usa",,7.0,8.142857142857142
55490,"rapid city, south dakota, usa",25.0,46.0,8.782608695652174
55492,"antioch, illinois, usa",43.0,14.0,8.642857142857142
55493,"chatham, ontario, canada",35.0,12.0,7.666666666666667
