Book Title,Author,Publication Year,Genres,Summary,Rating Count,Average Rating,Number of Pages,Best Seller,Film,Saga,Preceded by,Followed by
The Admiral's Caravan,Lewis Carroll,1891,"['Fantasy novel', ' Parody']",,,,140,False,True,,,
Gladys in Grammarland,Lewis Carroll,1896,['Fantasy novel'],,,,48,False,True,,,
Rollo in Emblemland,Lewis Carroll,1902,"['Fantasy novel', ' Parody']",,,,150,False,True,,,
Alice in Orchestralia,Lewis Carroll,1925,,,,,,,,,,
Roots: The Saga of an American Family,Alex Haley,1976,['Historical fiction'],"Roots tells the story of Kunta Kinte—a young man taken from The Gambia when he was seventeen and sold as a slave—and seven generations of his descendants in the United States. Kunta, a Mandinka living by the River Gambia, has a difficult but free childhood in his village, Jufureh. His village subsists on farming, and sometimes they lack enough food, as the climate is harsh. Kunta is surrounded by love and traditions. Ominously, the village had heard of the recent arrival of toubob, men with white skins who smell like wet chickens.
",,,704,True,False,,,
Queen: The Story of an American Family,Alex Haley,1993,['Historical fiction'],,,,,False,False,,,
Alex Haley's Queen,Alex Haley,1993,,"The series begins on Forks of Cypress, a plantation near Florence in northern Alabama. James Jackson Jr., the son of the plantation owner, and Easter, a slave who works in the weaving house, have both grown up on the estate, and gradually their feelings for each other have developed into romance.  Easter is the daughter of an African-American house slave, Captain Jack, and Annie, a part-Cherokee slave who is no longer on the Jackson property.
",,,,False,True,,,
Alexander's Bridge,Willa Cather,1912,,"Bartley Alexander is a construction engineer and world-renowned builder of bridges undergoing a mid-life crisis. Although married to Winifred, Bartley resumes his acquaintance with a former lover, Hilda Burgoyne, in London. The affair gnaws at Bartley's sense of propriety and honor.
",,,,False,False,,,
O Pioneers!,Willa Cather,1913,['Historical fiction'],"O Pioneers!  tells the story of the Bergsons, a family of Swedish-American immigrants in the farm country near the fictional[1] town of Hanover, Nebraska, at the turn of the 20th century. The main character, Alexandra Bergson, inherits the family farmland when her father dies, and she devotes her life to making the farm a viable enterprise at a time when many other immigrant families are giving up and leaving the prairie. The novel is also concerned with two romantic relationships, one between Alexandra and family friend Carl Linstrum and the other between Alexandra's brother Emil and the married Marie Shabata.
",,,,False,False,,Alexander's Bridge,The Song of the Lark
The Song of the Lark (novel),Willa Cather,1915,"['novel', ' bildungsroman']","Set in the 1890s in Moonstone, a fictional town in Colorado, The Song of the Lark is the self-portrait of an artist in the making. The ambitious young heroine, Thea Kronborg, leaves her hometown to go to Chicago to fulfill her dream of becoming a well-trained pianist, a better piano teacher. When her instructor hears her voice, he realizes that this is her true artistic gift. He encourages her to pursue her vocal training instead of piano saying, ""your voice is worth all that you can put into it. I have not come to this decision rashly"" (Part II, Chapter 7). In that pursuit she travels to Dresden, then to New York City, singing operas. Her reference for life is always her home town and the people she encountered there.
",,,,False,False,,O Pioneers!,My Ántonia
My Ántonia,Willa Cather,1918,"['Historical fiction', ' Western fiction']","The title refers to Ántonia, a young woman immigrant to the western prairies of the US. The story is told by her friend Jim, who arrives there at age ten to live with his grandparents. Jim thinks of her as his close friend, my Ántonia.
",,,175,False,True,,The Song of the Lark,
One of Ours,Willa Cather,1922,['Historical Fiction'],"Cather's cousin Grosvenor (G.P. Cather) was born and raised on the farm that adjoined her own family's, and she combined parts of her own personality with Grosvenor's in the character of Claude. Cather explained in a letter to Dorothy Canfield Fisher:[1]
",,,459,False,True,,,
A Lost Lady,Willa Cather,1923,,"Niel Herbert, a young man who grows up in Sweet Water, witnesses the slow decline of Marian Forrester, for whom he feels very deeply, and also of the West itself from the idealized age of noble pioneers to the age of capitalist exploitation.
",,,,False,True,,,
The Professor's House,Willa Cather,1925,,"When Professor Godfrey St. Peter and wife move to a new house, he becomes uncomfortable with the route his life is taking. He keeps on his dusty study in the old house in an attempt to hang on to his old life. The marriages of his two daughters have removed them from the home and added two new sons-in-law, precipitating a mid-life crisis that leaves the Professor feeling as though he has lost the will to live because he has nothing to look forward to.
",,,,False,False,,,
My Mortal Enemy,Willa Cather,1926,,"Myra and her husband Oswald return to their fictional hometown of Parthia, Illinois, to visit their relatives. Nellie and Aunt Lydia then leave to spend the Christmas holiday in New York City with them. They live on Madison Square. They dine with Ewan Gray, a friend who has an infatuation with another actress, Esther Sinclair. Oswald receives silver-buttons for his shirt from an old Western acquaintance, and asks Lydia to pretend she gave them to him to thwart his wife's jealousy. Later Myra and Nellie go to the opera; in a lodge they spot an erstwhile friend of Myra's, which makes her sad. Later they take a hansom around a park and chance upon a rich acquaintance of Myra's, which leads her to be scornful over her own poverty. They spend Christmas dinner with friends of the Henshawes - both artists and people of privilege. Later they spend New Year's Eve with artists again. A few days later Nellie witnesses the Henshawes argue; the husband takes her out to lunch. Soon after, she and her aunt are to return to Illinois. On the train, they are joined by Myra, who has argued with her husband again and is going to visit a friend in Pittsburgh for a change of scenery.
",,,,False,False,,,
Death Comes for the Archbishop,Willa Cather,1927,,"The narrative is based on two historical figures of the late 19th century, Jean-Baptiste Lamy and Joseph Projectus Machebeuf, and rather than any one singular plot, is the stylized re-telling of their lives serving as Roman Catholic clergy in New Mexico. The narrative has frequent digressions, either in terms of stories related to the pair (including the story of the Our Lady of Guadalupe and the murder of an oppressive Spanish priest at Acoma Pueblo) or through their recollections. The narration is in third-person omniscient style. Cather includes many fictionalized accounts of actual historical figures, including Kit Carson, Manuel Antonio Chaves and Pope Gregory XVI.
",,,,False,False,,,
Shadows on the Rock,Willa Cather,1931,['Historical novel'],"Book I: The Apothecary
",,,280,False,False,,,
Lucy Gayheart,Willa Cather,1935,,"Some sources indicate that Cather began writing Lucy Gayheart in 1933.[2][3] Scholar Melissa Homestead argues instead that she truly began writing in the summer of 1932.[4] Some sources agree with her.[5][6] Others are imprecise or ambiguous.[7][8] It appears that Cather began speaking about the story Blue Eyes on the Platte, her initial and intended name for Lucy Gayheart,[9][10] as early as the 1890s (using the name Gayhardt instead of Gayheart, based on a woman she met at a party),[11] and may have begun writing as early as 1926.[12][13][14] While she intended to name the novel Blue Eyes on the Platte early on, she changed the title[15] and made Lucy's eyes brown.[16] However, scholar Janis P. Stout suggests mention of Blue Eyes on the Platte may have been facetious, only beginning to write and think about Lucy Gayheart in 1933.[12] This is contradicted by Cather's lifelong partner and editor, Edith Lewis, insisting that not only did she begin working on Blue Eyes on the Platte ""several years before"" 1933, but that it was the precursor to Lucy Gayheart.[17] Regardless of which of these details are true, it is known that Cather reused images from her 1911 short story, ""The Joy of Nelly Deane"", in Lucy Gayheart.[18][19] ""The Joy of Nelly Deane"" may be best understood as an earlier version of Lucy Gayheart altogether.[20]
",,,,False,False,,,
Sapphira and the Slave Girl,Willa Cather,1940,['Historical fiction'],"Except for the epilogue, the book takes place entirely in 1856.
",,,295,False,False,,,
This Present Darkness,Frank Peretti,1986,['\nChristian fiction\nMystery\nHorror\n'],"This Present Darkness takes place in the small college town of Ashton. Bernice Kreuger, a reporter for the Clarion, Ashton's town newspaper, is falsely arrested on prostitution charges after taking a photograph at the annual Ashton Summer Festival. When she is released the next day, she discovers that the film in her camera was destroyed.
",,,,False,True,,,
Dies the Fire,S. M. Stirling,2004,"['Alternate history', ' Science fiction', ' post-apocalyptic']","Dies the Fire is a fantasy novel set in post-apocalyptic Oregon and Idaho. After an unknown phenomenon disables most forms of modern technology such as electricity, high-pressure steam-power, combustion, computers, electronics, guns, car and jet engines, and batteries, people quickly adapt, relying on swords and bows. Many people starve, while others continue robbing, raping, and pillaging as before the transition. Many resort to cannibalism. During this collapse, rural folks form isolated farming communities, while urbanites are enslaved by warlords. The book follows the Bearkiller Outfit and the Clan Mackenzie as they struggle to survive, while attempting to understand the mystery of 'what made the lights go out?' in this post-apocalyptic world.
",,,496,False,False,The Emberverse series,,The Protector's War
The Protector's War,S. M. Stirling,2005,"['Alternate history', ' Science fiction']","Eight years after the Change, Clan Mackenzie, led by Juniper Mackenzie, and the Bearkillers, headed by Mike Havel, have established themselves in the Willamette Valley. They have become bitter enemies of the much larger, expansion-minded Portland Protective Association (PPA), led by the Armingers. The barons of the PPA constantly violate a ceasefire with the other factions. During one of their raids, Eddie Liu, Baron and Marchwarden of the PPA, is confronted by a small group of Mackenzies, led by Eilir Mackenzie and Astrid Larsson. After a short skirmish, Liu leaves, again swearing revenge against the Clan. 
",,,496,False,False,The Emberverse series,Dies the Fire,A Meeting at Corvallis
A Meeting at Corvallis,S. M. Stirling,2006,['Science fiction'],"Mike (Lord Bear) and Signe Havel of the Bearkillers and Juniper Mackenzie of Clan Mackenzie travel to Corvallis, a neutral city-state, to convince them to join in resisting the PPA. Meanwhile, the Dunedain Rangers have captured a major knight of the PPA leading a band of raiders into their territory and take him to Corvallis for his trial. Sandra Arminger and her servant/assassin Tiphaine also travel to Corvallis to speak in defense of the PPA. Sandra sends Tiphaine to kill the knight so he cannot be used as evidence against the PPA. Tiphaine successfully kills the knight and flees the scene even though she is ambushed by the Rangers. At the Corvallis Faculty Senate, the governing body of Corvallis originally composed of professors from Oregon State University, the allied forces are unable to convince Corvallis to side against the PPA; but they are successful in getting Corvallis to recognize the Dunedain Rangers.
",,,512,False,False,The Emberverse series,The Protector's War,The Sunrise Lands
The Sunrise Lands,S. M. Stirling,2007,['Science fiction novel'],"Ingolf Vogeler, a mercenary from the Republic of Richland arrives in Mackenzie lands in the Willamette River region of Oregon. He is being stalked by soldiers from the Church Universal and Triumphant (known as Cutters), which is located in Paradise Valley, Montana, and controls parts of Montana and Wyoming. Ingolf arrives in a tavern run by Tom Brannigan, and during the night, is attacked by these soldiers. As he is attacked, Rudi Mackenzie, Mathilda Arminger, Odard Liu, and the twins Ritva and Mary Havel join the fray. Odard and Rudi kill several assassins until Rudi shouts to take one alive. The assassins realize they can't escape and commit suicide before the party can react. Odard and Rudi break the door that Ingolf is hidden behind, and take him to a hospital. Ingolf is saved, and he relates his tale to the Mackenzies.
",,,464,True,False,The Emberverse series,A Meeting at Corvallis,The Scourge of God
The Scourge of God (novel),S. M. Stirling,2008,['Science fiction'],"Rudi Mackenzie and company stage a rescue of Mathilda Arminger, Odard Liu, and Ingolf Vogeler from High Seeker Kuttner. They come upon a group of Mormon rebels, who join up with Rudi and reach the town of Picabo, now occupied by Church Universal and Triumphant (CUT). They attempt to infiltrate the town, but are discovered and chased out by Graber.
",,,464,False,False,The Emberverse series,The Sunrise Lands,The Sword of the Lady
The Sword of the Lady,S. M. Stirling,2009,"['Alternate history', ' post-apocalyptic']","Rudi Mackenzie and Edain Aylward Mackenzie head out through post-Change Illinois on a mission given to them by the Bossman of Iowa to recover Ingolf Vogeler's wagons that he abandoned there. They break up an ambush by Knifers and save three Southside Freedom Fighters (Southsiders), descendants of survivors from Chicago, including their leader Jake. Rudi adopts the tribe and they help him bring Ingolf's wagons back to Iowa. Along the way, Rudi and Edain teach them how to make bows and arrows, then train them as military archers. Southsiders listen to them sing and add the songs to their story-poor culture. Soon the Southsiders consider themselves part of Clan Mackenzie.
",,,484,False,False,The Emberverse series,The Scourge of God,The High King of Montival
The Flight Engineer,S. M. Stirling,1996,,"The Rising begins in media res during a conflict between two groups,[2] the Commonwealth and an extremist religious group the Mission Of Life Lived In Ecclesia (commonly referred to as ""Mollies"") and the Mollies' allies, an alien species known as the Fibians. The basis of the conflict is that the Mollies settled an otherwise worthless sector of the galaxy, later discovered to naturally have extremely rich sources of easily obtainable antihydrogen, an energy particle that is required for the high-technology space travel and civilization, and difficult to manufacture artificially.[3][4]
",,,,False,False,,,
T2 (novel series),S. M. Stirling,2001,,"T2: Infiltrator explores Sarah and John's life while living off the grid.[5] Set six years after the events of Terminator 2: Judgment Day, Sarah and 16-year-old John live a relatively normal life under the assumed names John and Suzanne Krieger near a small town in Paraguay, believing they have destroyed Cyberdyne Systems for good and prevented the creation of Skynet. They own a successful trucking company known as Krieger Trucking, while also being proficient smugglers. Sarah works at the company, while John attends military school, quickly becoming one of their best students, gaining military skills, weaponry and hacking knowledge. They gain a new neighbor in Dieter von Rossbach, a former Austrian counterterrorism operative and future model for the T-800 series. He is drawn to the Connors, and after Sarah tells him about the future war, they are attacked by a new T-800, created in the present by a new Terminator model, the i-950 Infiltrator Serena Burns. Realizing that Judgment Day was not permanently averted, they attempt once again to stop Skynet's creation with the help of Dieter. They eventually run into FBI agent Jordan Dyson, Miles Dyson's brother who is looking to capture the Connors for his brother's death and Cyberdyne's destruction, but witnesses the Terminators himself and comes to believe them and decides to help them destroy Cyberdyne's most recent facility and the remaining Terminators. Sarah is seriously wounded by Serena as she destroys her, while Dyson looks after her and makes sure she makes a full recovery. John and Dieter flee to Paraguay once again. Dyson, however, finds out that Cyberdyne has a back-up facility located in Montana and immediately informs them of this information.
",,,,False,True,,Terminator 2: Judgment Day,
Initiate's Trial,Janny Wurts,2011,['Epic fantasy'],,,,,False,False,Wars of Light and Shadow,Stormed Fortress,Destiny's Conflict
Evermeet: Island of Elves,Elaine Cunningham,1998,['Fantasy novel'],"The Island of Evermeet is a refuge for the elves, which faced hordes capable of destroying empires, and was in turn threatened by pirates, mercenaries, wizards, elves and renegades swarms of dragons. The novel gives us fragments of the history of the island kingdom, from its inception to the present day, while the drow launch a devastating attack.
",,,,False,True,,,
The Man Who Folded Himself,David Gerrold,1973,['Science fiction'],"In 1975, Daniel Eakins, a young college student, is visited by his Uncle Jim. Uncle Jim offers to increase Daniel's monthly allowance for living expenses as long as Daniel promises to keep a diary. Shortly after, Uncle Jim dies, and Daniel inherits a ""Time-belt"" from him that allows the wearer to easily travel through time. Daniel quickly learns how to use the Time-belt and makes a few short jumps into his own future. He meets a future version of himself, who goes by ""Don"", who accompanies him to a race-track where the pair make a fortune betting on horse-racing.
",,,148,False,False,,,
Moonstar Odyssey,David Gerrold,1977,,"In the distant future a planet settled by humans was once all airless moon rock. Human terraforming has transformed the moon into a world of shallow oceans and islands which are the peaks for the former moon craters.
",,,,False,False,,,
The Martian Child,David Gerrold,2002,['Science fiction'],"A single man who writes science fiction books and screenplays for a living, adopts a son who claims he is from Mars. The adoptive father comes to be intrigued by the possibility his son might really be a Martian. Ultimately, the father realizes that he loves his son whether or not he is a Martian. The son uses a magical ""Martian wish"" to be a human so he can remain with his father.
",,,,False,True,,,
Beaches (novel),Iris Rainer Dart,1985,['Fiction'],,,,276,False,True,,,I'll Be There (1991)
Valley of the Dolls (novel),Jacqueline Susann,1966,,"In 1945, beautiful ingenue Anne Welles moves to New York City to escape the ennui of her Massachusetts hometown. She finds work as a secretary to Henry Bellamy, an entertainment lawyer, and befriends Neely O'Hara, an ebullient vaudevillian and aspiring stage actress. Henry's employee, Lyon Burke, returns to the agency after World War II, and Anne quickly falls in love with him despite Henry's warning. Meanwhile, Anne goes on some dates with a small-time salesman named Allen Cooper. Allen suddenly reveals that he is a millionaire, pretending to be a regular guy in order to make sure Anne's feelings are genuine. He proposes to Anne, and their love story becomes a media sensation.
",,,442,True,True,,,
The Love Machine (novel),Jacqueline Susann,1969,,"The Love Machine tells the story of ruthless, haunted Robin Stone and his life and career in the cut-throat world of 1960s network television. Handsome but promiscuous, the latter earning his nickname the Love Machine after he describes television with the same sobriquet, Robin is loved beyond all reason by three women: Amanda, the beautiful but doomed fashion model; Maggie, the beautiful but headstrong fellow journalist escaping a cruel society marriage; and Judith, the beautiful but aging wife of fourth-network founder Gregory Austin. 
",,,512,True,True,,,
Once Is Not Enough,Jacqueline Susann,1973,,"The young and beautiful January Wayne, daughter of film and stage producer Mike Wayne, returns home to New York City after being hospitalized in Switzerland for nearly three years. But home is not what it used to be: the world which January knew has changed considerably.
",,,467,True,True,,,
Dolores (Susann novel),Jacqueline Susann,1976,,"The beautiful and fashionable Dolores Cortez Ryan is widowed when her husband, U.S. President James Ryan, is gunned down in New Orleans. After a year in seclusion, Dolores takes tentative steps back into the world, by having affairs first with a screenwriter, and then with Barry Haines, an attorney who likes rich women, but doesn't consider Dolores--with just $30,000 a year--quite rich enough. Finally, Dolores agrees to marry a fabulously wealthy shipping tycoon, who leaves her on their wedding night to go to his mistress.
",,,,True,True,,,
Yargo (novel),Jacqueline Susann,1979,"['Science fiction', ' Romance']","Yargo tells the story of Janet Cooper, a young woman from Avalon, New Jersey, who is abducted by aliens from the planet Yargo. During her interplanetary adventures with these intelligent but emotionless extraterrestrials, she falls in love with their leader.
",,,347,False,False,,,
Dreadful Sanctuary,Eric Frank Russell,1948,['Science fiction'],"In 1972, John J. Armstrong, a physically large and powerful inventor from New York, becomes concerned by the failures of seventeen crewed and uncrewed rockets to reach the Moon. Professor Bob Mandle, a young scientist, dies mysteriously while discussing the rocket failures with Armstrong. Armstrong learns that the only remaining authorities of comparable stature are Professor Claire Mandle, the dead man's sister, and a Viennese scientist named Horowitz. Armstrong visits New Mexico, where the eighteenth Moon-rocket, to be piloted by George Quinn, is being built under the supervision of the obstructive Ambrose Fothergill. Armstrong also consults his friend Ed Drake, who worked on one of the earlier failed rockets, and Claire Mandle, to whom he feels an immediate attraction.
",,,275,False,False,,,
Wasp (novel),Eric Frank Russell,1958,['Science fiction'],"Set in the future, the story is about protagonist James Mowry and an inter-planetary war between humans (collectively referred to as ""Terrans"") and the Sirians (collectively referred to as the Sirian Empire, from Sirius). The war has been on for nearly a year as the story begins. The Terrans, while technologically more advanced than the Sirians, are outnumbered and out-gunned twelve-to-one.
",,,175,False,False,,,
The Great Explosion,Eric Frank Russell,1962,['Science fiction'],"The Blieder drive, a faster-than-light drive system, has permitted the population of Earth to colonize the galaxy. Each planet has become home for a particular social group. Four hundred years after the diaspora (the ""Great Explosion"" of the title), a spaceship from Earth visits three of the planets, the first steps to unifying the galaxy under a new Empire. The ship contains two thousand Terrans including many pompous officials, an army of bureaucrats, a military force and the ship's crew, including some misfits.  Things do not go entirely as hoped, as the incompetent military authoritarians of the ship encounter three very different societies.
",,,187160,False,False,A Torquil Book,,
A Cavern of Black Ice,Julie Victoria Jones,1999,['Fantasy'],"The story begins with a woman named Tarissa giving birth to a girl outside the city Spire Vanis. The girl, Ash March (possibly the daughter of Jack, from the Book of Words, is taken in by Penthero Iss, Spire Vanis's Surlord (a supreme ruler). After discovering that she will soon be moved to more prison-like quarters by the supposedly benevolent Surlord, she escapes.
",,,736,False,False,Sword of Shadows,,A Fortress of Grey Ice
A Fortress of Grey Ice,Julie Victoria Jones,2002,['Fantasy'],"A Fortress of Grey Ice represents a greater division of storylines than was present in the first book. The novel opens rather dramatically with new characters and settings, then moves quickly to Ash March's abrupt and covert departure from Raif in order to join the Sull. Left with the Listener, Raif finds himself alone, now abandoned by clan and friend, cut off from everyone and everything that he loves. Embittered and resentful of the lore that claims him as Watcher of the Dead, Raif will wander the edge of the Want until he finds the only group willing to accept an outcast and renegade, the outlaw Maimed Men. Elsewhere Ash, already leagues away from Raif, will become initiated into the mysterious blood lettings of the Sull, all the while riding in haste to reach the safety of the Sull lands, guarded by her two Far Riders and pursued by the maeraith she has been unintentionally released.
",,,672,False,False,Sword of Shadows,A Cavern of Black Ice,A Sword from Red Ice
