Book Title,Author,Publication Year,Genres,Summary,Rating Count,Average Rating,Number of Pages,Best Seller,Film,Saga,Followed by,Preceded by
An Echo in the Bone,Diana Gabaldon,2009.0,"['science', 'fantasy', 'historical', 'romance']","In the 20th century at Lallybroch, Brianna, Roger, Jem, and Mandy are reading letters from Claire and Jamie from the past, one of which mentions hidden gold, with a location known only to Jem. Roger's ancestor William Buchleigh ""Buck"" MacKenzie shows up at Lallybroch, having accidentally gone through the stones at Craigh na Dun in 1778. Given his date of death on the family record, Brianna and Roger know he is unlikely to make it safely back. Rob Cameron, one of Brianna's coworkers, kidnaps Jem, and it appears that he has taken Jem into the past. Roger and Buck travel through time to find them, ""Take me to Jeremiah,"" Roger thinks. But Rob appears at Brianna's home and orders her to tell Jem to disclose the location of the gold. Jem is locked underground at the dam where Brianna and Rob work. He finds an electric train and starts an escape; his fate is unseen.
",0.0,,820.0,No,No,Outlanderseries,Written in My Own Heart's Blood,A Breath of Snow and Ashes
Dragon Tears,Dean Koontz,1993.0,"['speculative', 'thriller', 'horror']"," Harry Lyon is a cop who embraces tradition and order. His partner, Connie Gulliver, is Harry's exact opposite. Harry doesn't like the messiness of her desk, her lack of social polish or her sometimes casual attitude towards the law. Connie often urges him to surrender to the chaos of life that is the 1990s. ""Look, Harry, it's the Age of Chaos,"" she tells him. ""Get with the times."" And when Harry and Connie have to take out a hopped-up gunman in a restaurant, the chase and shootout swiftly degenerate into a surreal nightmare that seems to justify Connie's view of the modern world. Shortly after, Harry encounters a filthy, rag-clad denizen of the streets, who says ominously, ""Ticktock, ticktock. You'll be dead in sixteen hours."" Struggling to regain the orderly life he cherishes, Harry is trapped in an undertow of terror and violence. For reasons he does not understand, someone is after him, Connie Gulliver and the people he loves.",38.0,7.48,377.0,No,Yes,No,,
Moominland Midwinter,Tove Jansson,1957.0,"['speculative', 'fantasy', 'childrens']"," While the rest of the Moomin family are in the deep slumber of their winter hibernation, Moomintroll finds himself awake and unable to get back to sleep. He discovers a world hitherto unknown to him, where the sun does not rise and the ground is covered with cold, white, wet powder. Moomintroll is lonely at first but soon meets Too-ticky and his old friend Little My (who takes delight in sledging down the snowy hills on Moominmamma's silver tea tray). The friends build a snow horse for the Lady Of The Cold and mourn the passing of an absent-minded squirrel who gazed into the Lady's eyes and froze to death. However, a squirrel is spotted alive by Moomintroll at the end of the book, and it seems that it may have come back to life. As the haunting winter progresses, many characters (notably the Groke, Sorry-oo the small dog, and a boisterous skiing Hemulen) come to Moominvalley in search of warmth, shelter and Moominmamma's stores of jam.",1.0,9.0,168.0,No,Yes,Moomins,Moominsummer Madness,Tales from Moominvalley
Tom Clancy's Net Force Explorers: Virtual Vandals,Tom Clancy,1998.0,"['thriller', 'young adult', 'techno']","Set in 2025, Net Force Explorers member Matt Hunter witnesses an attack at a baseball game attended by fans in holographic form through virtual reality. The attack involved holographic bullets fired into the crowded that actually harmed the people that were simply attending through virtual reality. Matt learns that the attackers might be the same group that have been hacking computer systems and injuring people recently. Hunter and his Explorer friends sets out to stop them as he solves the crimes and leads to a confrontation with them in the real world. [1][2]
",0.0,,181.0,No,No,"Tom Clancy's Net Force Explorers, #1",The Deadliest Game,
The Prince and the Pilgrim,Mary Stewart,1996.0,"['speculative', 'fantasy', 'romance']"," Prince Alexander is diverted in his quest for justice by the enchantments of Morgan LeFay, the seductive but evil sorceress. She persuades him to attempt a theft of the Holy Grail so that she can own it and thus gain power over King Arthur and his court. Alexander's search for the mysterious cup leads him to Alice. Together the prince and the pilgrim find what they've really been seeking: love. The tale is a self-contained novel taking place during Arthur's reign (possibly during the events in The Last Enchantment ), and does not serve as a follow-up to The Wicked Day.",4.0,,292.0,No,No,Arthurian Saga,The Wicked Day,
The Book of Lies,James Moloney,2004.0,"['speculative', 'fantasy', 'childrens']"," A young boy wakes up in an orphanage one night with no memory of who he is. The only thing he remembers is his name, Robert. But Robert isn't his name, and a little girl called Bea knows this. She was there when Lord Alwyn, a once powerful sorcerer, erased all of his memory using the powerful Book of Lies. He meets Bea, who tells of his name. His real name is Marcel. He encounters the mighty Fergus and the haughty Nicola during his stay at the orphanage, both of whom's memories are nothing more than lies. One day a mysterious man called Starkey claims to know the real lives of Nicola, Fergus and Marcel. Upon meeting his mother, imprisoned by the evil usurper King Pelham, he suddenly isn't sure. Is Starkey all that he claims to be? Is his mother his real mother? Is King Pelham really evil, or was that a lie as well? Danger lurks at every corner, and Marcel must stop the most feared Mortregis, beast of war, from rising once again.",1.0,,,No,No,No,The Husband's Secret,Truly Madly Guilty
Stark,Ben Elton,1989.0,"['speculative', 'dystopia', 'utopian']"," Colin ""CD"" Dobson, lives a humdrum life at a critical point in history. The environment is being destroyed by a series of 'avalanches' - sudden upsets in the Earth's ecosystem, causing widespread destruction. The Stark conspiracy is a cabal of the world's richest and most influential men, who have long been aware that the planet's ecosystem is approaching total collapse. For decades they have been launching unmanned spacecraft loaded with supplies into orbit around the Earth and the Moon. Seeking to save their own lives and leave everyone else to suffer from 'total toxic overload', they secretly build a fleet of spacecraft with the intention colonizing the Moon. Using crude intimidation, they purchase land from Aboriginals in Western Australia to use as a launch site. They sell their stocks and commodities to raise cash, dumping the assets at the same time and in high volumes to engineer a worldwide stockmarket crash and lower the price of the resources they need. They buy the Moon from the United States government, along with the hardware to reach it. Six vessels are designed to travel to the Moon, three of which will carry humans, with room for 250 humans on each. The vessels are named 'Star Arks', referencing the Biblical story of Noah's Ark. The Star Arks contain human and animal embryos in suspended animation, as well as resources needed for life support. The Star Arks are prepared under the cover story that the consortium is building a desert resort. CD and his friends form a group called 'EcoAction'. Each of them have their own reason for fighting the consortium, with the collective goal of trying to protect the environment. They take action against the consortium's activities, and in the process uncover the conspiracy. They infiltrate the launch site and wreak havoc. CD and one of the conspirators, Sly Moorcock, compete for the affections of Rachel, who eventually joins the conspiracy as Sly's intended partner. EcoAction try to warn the rest of the world about the plan, but they are not taken seriously. The cabal kill many of those who have investigated or uncovered the conspiracy. Rachel turns on Sly at the last minute so she can sabotage the launch, but he overpowers and tries to abduct her. She escapes and rejoins the surviving members of EcoAction. The Stark Conspiracy blast off, but find that their existence is frustrating and lonely. Sly Moorcock eventually commits suicide. The narrative ends with an admonishment for the world's consumers over their inaction on environmental issues in the late 1980s and early 1990s.",9.0,8.0,496.0,No,Yes,No,,Gridlock (1991)
The Thief,Megan Whalen Turner,1996.0,"['speculative', 'fantasy', 'young adult']"," Gen is released from prison by the magus, the king's scholar. The magus finds Gen filthy, uncouth, and insolent, but he needs Gen’s skills as a thief. Without telling Gen where they are going, he takes him out of the city. They are joined by the magus’s two apprentices, Sophos and Ambiades, and by Pol, a soldier. The journey is dangerous, and the travelers grate on each other's nerves. The magus reveals that the object he wants Gen to steal is a precious stone called Hamaithes's Gift far far away. Gen risks death in a daring attempt to steal the stone from an almost inaccessible temple, while the entire party is pursued by the Guard of Attolia. None of the main characters is exactly what he seems to be. Gen actually works for the queen of a neighboring nation, Sophos is the heir to the throne and Ambiades is a traitor. By the end of the book, secrets are revealed, relationships adjusted, and respect among the travelers is lost and won.",2.0,9.0,584.0,Yes,Yes,No,,
Gateway,Frederik Pohl,1977.0,"['speculative', 'science', 'fantasy']"," Gateway is a space station built into a hollow asteroid (or perhaps the dead heart of a comet) constructed by the Heechee, a long-vanished alien race. Humans have had limited success understanding Heechee technology, although the promise is enormous and Gateway is a highly sought-after destination for many researchers. Notable among the abandoned technology are nearly a thousand small starships. Unable to understand how they work, a small level of functionality has been recovered simply by trial and error. Occasional attempts at reverse engineering to find out how they work have ended only in disaster. The controls for selecting a destination have been identified, but nobody knows where a particular setting will take the ship or how long the trip will last - starvation is a major danger. Once in flight, no one who has changed the settings has ever been heard from again. Most settings take the ship to useless or lethal places. A few, however, lead to Heechee artifacts and habitable planets, making the passengers (and the Gateway Corporation, which administers the asteroid on behalf of a cartel of countries) wealthy. The vessels come in three standard sizes, which can hold a maximum of one, three, or five people, crammed in with equipment and (hopefully) enough food to last the trip. Each ship includes a lander to visit a planet or other object if one is found. Robinette Stetley Broadhead—known as Robin, Rob, Robbie, or Bob, depending on circumstances and his state of mind—is a young food shale miner on Earth who has won a lottery, giving him just enough money to purchase a one-way ticket to Gateway. Once there, he loses his nerve, putting off going on a mission as long as he can. Eventually he starts running out of money, and although he is terrified, he goes out on three trips. The first draws a blank. On the second, he makes a discovery through unauthorized experimentation, but this is balanced by the fact that he has to pay a hefty penalty for the ship he managed to incapacitate in the process. On his third trip, the Gateway Corporation tries something different: sending two five-person ships, one slightly behind the other, to the same destination. Bob signs up in desperation, along with Gelle-Klara Moynlin, a woman he had gradually come to love on Gateway, and who was struggling with her own fears. When they reach the end of their journey, they find to their horror that they are in the gravitational grip of a black hole, without enough power to break free. One of the others comes up with a desperate escape plan—to cram all the people into one ship and eject the other toward the black hole, thus gaining enough velocity to escape. Working frantically to transfer unnecessary equipment to make room, Bob finds himself stuck alone in the wrong ship when time runs out, so he attempts to sacrifice himself and closes the hatch. However, his ship is the one thrown away, leaving the rest of the crew falling into the black hole. He returns to Gateway and becomes wealthy when, as the sole ""survivor"", he receives the bonuses for the entire group. He feels enormous survivor guilt for deserting his crewmates, especially Klara, so he seeks therapy from an Artificial Intelligence Freudian therapist program which he names Sigfrid von Shrink. He finally comes to terms with his guilt despite the realization that, due to the gravitational time dilation resulting from proximity to the black hole, time is passing much more slowly for his former crew mates and none of them have actually died yet, leaving him with the dread that Gelle-Klara believes he betrayed them to save himself. The novel is divided between chapters of dialogue between Bob and Sigfrid and chapters covering the main action. Also embedded are various mission reports (usually with fatalities), technical bulletins, and other documents Broadhead might have read, adding to the verisimilitude of the narrative.",5.0,9.5,313.0,No,No,Heechee Saga,,Beyond the Blue Event Horizon
"The Lion, the Witch and the Wardrobe",C. S. Lewis,1950.0,"['speculative', 'fantasy', 'childrens']"," The story begins in 1940 during World War II, when four siblings—Peter, Susan, Edmund, and Lucy Pevensie—are evacuated from London to escape the Blitz. They are sent to live with Professor Digory Kirke, who lives in a country house in the English countryside. While the four children are exploring the house, Lucy looks into a wardrobe and discovers a doorway to a magical world named Narnia. There she meets a faun named Mr Tumnus. He invites her to have tea in his home. There he confesses he planned to report her to the usurper queen of Narnia, otherwise known as the White Witch, but has thought better of it. Upon returning to our world, Lucy's siblings do not believe her story about Narnia. Her older brother Edmund enters the wardrobe and meets the White Witch, who introduces herself as the Queen of Narnia and befriends him and offers him magical Turkish delight, which enchants him. She encourages him to bring his siblings to her in Narnia, with the promise that he shall rule over them. Lucy discovers Edmund in Narnia at the lamppost, and they return to the Professor's house. In conversation with Lucy, Edmund realises that the woman who befriended him is in fact the White Witch; however, he does not tell anyone that he has met her, and lies to Peter and Susan, denying Lucy's claim that he too had entered Narnia through the wardrobe. Eventually, all four of the children enter Narnia together while hiding in the wardrobe. They meet Mr. and Mrs. Beaver, who invite them to dinner. The beavers recount a prophecy that the witch's power will fall when two Sons of Adam and two Daughters of Eve fill the four thrones at Cair Paravel. The beavers tell of the true king of Narnia, a great lion named Aslan, who has been absent for many years but is now ""on the move again."" Edmund sneaks away to the White Witch. Her castle is filled with stone statues – enemies she has turned to stone. The beavers realize where Edmund has gone and abandon their home, leading the children to Aslan. As they travel, they notice that the snow is melting, indicating that the White Witch's spell is breaking. A visit by Father Christmas confirms this. Father Christmas gives the three children and the beavers presents. Peter receives a sword and shield, Susan a horn and a bow, Lucy a vial of magical healing liquid and a knife or dagger, Mrs. Beaver a sewing machine, and Mr. Beaver's dam is finally finished. The children and the Beavers meet with Aslan and his army. Peter engages in his first battle, killing a wolf that threatens Susan. The Witch approaches to speak with Aslan, insisting that, according to ""deep magic from the dawn of time"", she has the right to execute Edmund as a traitor. Aslan speaks with her privately and persuades her to renounce her claim on Edmund's life. That evening, Aslan secretly leaves the camp, but is followed by Lucy and Susan. Aslan has bargained to exchange his own life for Edmund's. The Witch ties Aslan to the Stone Table and then kills him with a knife. The following morning the Stone Table is broken and Aslan is restored to life, explaining to Lucy and Susan that it is due to ""deeper magic from before the dawn of time"" (which the Witch did not know about), ruling that if an innocent was killed in the place of a traitor, the Stone Table would break and the innocent would be brought back to life. Aslan allows Lucy and Susan to ride on his back as he hurries to the Witch's castle. There he breathes upon the statues, restoring them to life. Peter and Edmund lead the Narnian army in a battle against the White Witch's army, but are losing. Aslan arrives with the former statues as reinforcements. The Narnians rout the evil army, and Aslan kills the Witch. The Pevensie children are named kings and queens of Narnia: King Peter the Magnificent, Queen Susan the Gentle, King Edmund the Just and Queen Lucy the Valiant. Several years later, now adults and mounted on horseback, the siblings go hunting for a white stag. They see the lamppost and go towards it. Just beyond the lamppost, branches become coats. The siblings are back in the wardrobe and are children again. They re-enter the Professor's house.",2.0,10.0,1721.0,No,Yes,The Chronicles of Narnia,,Prince Caspian
People of the Fire,Kathleen O'Neal Gear,1994.0,"['speculative', 'science', 'fantasy', 'historical']"," Amid disastrous climate changes, the Red Hand and Short Buffalo tribes struggle for survival, and against each other. In order to survive in the changing world, they must change with it, but to do that, they need the guidance of a new Dreamer, and the Red Hand's sacred Wolf Bundle must be renewed.",6.0,7.333333333333333,391.0,Yes,Yes,The Hunger Games,The Hunger Games,Mockingjay
Fear Nothing,Dean Koontz,1998.0,"['speculative', 'mystery', 'suspense', 'thriller']"," Fear Nothing, told in the first person, follows 24 hours of Christopher Snow's life, as he discovers and attempts to unravel a mysterious and seemingly endless conspiracy centered around a military compound called Fort Wyvern. The book opens with Christopher Snow going to visit his dying father at the hospital. As Snow enters, the lights are thoughtfully dimmed to protect him in his condition. As Christopher’s father is near to death he manages to say a few words, including the title advice “fear nothing”. Shortly after, Christopher's father dies. Snow discovers before leaving the hospital his father’s body has been switched with that of a drifter. Following the people taking the body to the funeral home, Christopher is nearly found out and a wild manhunt begins. Christopher is chased through to the outskirts of town and only his knowledge of the landscape of night keeps him ahead of his pursuers. When he reaches a dead-end in a deserted hollow, he encounters Mungojerrie, an extremely intelligent and very precocious cat. Later, upon returning home, Christopher finds his father's gun on his bed, and an urgent message on his answering machine to call Angela Ferryman, a nurse and lifelong family friend. Orson, the family dog, is found busy (uncharacteristically) digging holes in the garden. Christopher stops the pet and brings Orson along with him to see Angela, who reveals some of the town’s deep secrets, including a night several years ago when she encountered a strange rhesus monkey in her house, a terrifying creature which is recovered by mysterious military personnel. Before more is revealed, Angela is killed while in another room, and Chris barely escapes when unknown assailants set the house on fire. Christopher sets off on his bicycle, with Orson following, to the home of his best friend Bobby Halloway, a surfer who lives in a cottage on the edge of town, near to the sea. Upon hearing Chris’ story, Bobby urges Christopher to leave the mystery alone and continue life as normal. The friends share some food and a few beers (including the dog). Their meal is interrupted by Sasha, Christopher's girlfriend, who calls with a message from another friend of Christopher. The message sends him and Orson off on a race into the mist of the night, where they are followed by a group of mutated Rhesus monkeys which are led by a shadowy figure of a half-man, half-beast. As Christopher meets with Roosevelt Frost, an ex-football player who now focuses on a talent of communication with animals, Christopher is again warned off his investigation yet feels compelled to unravel this mystery. Frost hints at unusual, uncommonly intelligent animals escaping from the military base. He cryptically mentions that Christopher is protected by the legacy of his mother.",87.0,8.19047619047619,448.0,No,Yes,Moonlight Bay Trilogy,,Seize the Night
Deep Six ,Clive Cussler,1984.0,"['thriller', 'adventure', 'techno']","When a mysterious and extremely deadly poison spreads through the waters off the coast of Alaska killing everything it comes in contact with, including several scientists and members of the crew of a Coast Guard cutter, Dirk Pitt and his NUMA team are dispatched in an attempt to find the source of the poison.  When a member of his team is killed by the poison, Pitt vows to take revenge on whoever is responsible for the poison outbreak. The trail leads him to a powerful and extremely wealthy Korean shipping company matriarch and her grandson, and while pursuing them, Pitt uncovers a plot that could lead to the fall of the government of the United States.
",0.0,,432.0,No,No,Dirk PittNovels,Cyclops,Pacific Vortex!
The Named,Marianne Curley,2002.0,"['speculative', 'science', 'fantasy', 'childrens']"," The Named begins with a foreshadowing that portrays the protagonist: Ethan, witnessing his own sister's death by Marduke, an evil minion to the evil Goddess: 'Chaos' who is also the leader of the 'Order of Chaos' (an organization that opposes the Guard). The story continues when Ethan is 16. He goes to school in Angel Falls and is aware of his powers, and is relatively good at controlling them. The story switches point of views and Isabel comes into play. She is a long-time acquaintance with Ethan because of his standing friendship with her brother Matt. Unfortunately, Matt and Ethan's friendship grew apart because of their common interest in Rochelle. However, Rochelle doesn't come truly into play until later in the story. Ethan is training under the power of Arkarian, a coordinator of the Guard. He has the power of agelessness and remains 18. He has blue hair and violet eyes, but only because of this power. Arkarian is also a truthseer (can read the minds of others) and has his wings, which allows him to teleport to anywhere by thinking of it. Isabel becomes aware of her powers one day while getting ready for school. She has the power to heal. Arkarian tells Ethan that he has been given an apprentice: Isabelle, whom he must train in the following three weeks. This is to be ready for the final battle between the Order and the Guard but Ethan now Isabel knows of this in this moment in time. Isabel was in love with Ethan when they were young. She would follow him and her brother around just to be with them. She grew attached to the outdoors and was very strong for being a girl. This feature alone helped Ethan train her. At first, Isabel was weary about Ethan and couldn't trust what he was saying, but she grew to it and soon was a very strong member of the Guard and one of the named. The Named, are the group of nine who are said to fight the evil goddess in the final battle. The nine who may or may not appear in this book, are Arkarian, Ethan, Isabel, Matt, Neriah, Rochelle, Jimmy, Shaun, and Mr. Carter. Ethan and Isabel go on their first mission back in time to make sure King Richard actually became king. The only way to get back in time is to go through the citadel (a palace with many rooms that appeal to the people who show up in them). They can only get to the Citadel through their sleep, and only their souls go, their body remains behind while they sleep. Isabel is close to dying at one point in the book. Only her soul-mate can save her. Her soul-mate had to call her name to get her soul back to her body. Ethan tried but failed. Isabel couldn't hear him. Then Arkarian called her name. Isabel heard him. When she awoke she thought it was Ethan that had saved her. Arkarian said that Isabel can never know that he is her soul-mate.",2.0,8.0,333.0,No,No,Guardians of Time Trilogy,,The Dark
Blind Faith,Ben Elton,2007.0,"['satire', 'dystopia', 'utopian', 'black', 'comedy']"," Trafford Sewell, the novel's protagonist, sets off for work on a rare ""Fizzy Coff"" (a day he must be physically present in his office; like most people he usually telecommutes) and, in the short distance he has to travel, he is confronted by the numerous maudlin ""tributes"" to dead ""kiddies"", massive overcrowding, and oppressive heat that are typical of his world. His ""Confessor"", Bailey, confronts him about his lateness in posting an explicit video of Caitlin Happymeal (Trafford's daughter) being born on the ""WorldTube"". Trafford's given excuse is forgetfulness, rather than the illegal desire for privacy that is his true reason. A ""Fizzy Coff"" colleague, Cassius, begins to take an interest in Trafford and invites him to lunch at an ""old-fashioned"" falafel restaurant. There he tells Trafford that he is a ""Vaccinator"" who belongs to the ""Humanist"" group. This group believes in reason and science, opposing the Temple's message of blind faith. Having already lost an earlier child to a ""plague"" as all epidemics are called, Trafford tries to find a way to get Caitlin Happymeal vaccinated. Trafford's wife, Chantorria, is a devout Temple member and is against the idea. Trafford ignores her wishes and secretly vaccinates Caitlin against measles, mumps and tetanus. Vaccination is banned under the ""Wembley Laws"" as interference in ""God's will"" and as a result, half of all children born die of preventable diseases such as measles, mumps, rubella and tetanus. When a measles epidemic comes to London, thousands of children die, including all the children in the Trafford's apartment building, but Caitlin Happymeal survives. Chantorria is aware of the fact that Catilin Happymeal has been vaccinated, but rather than accepting this cause and effect, she sees Caitlin Happymeal's survival as God's will. The Sewells become stars in their parish and Chantorria becomes the centre of attention, which she relishes. She gradually becomes convinced that she is one of God's chosen few and begins an affair with Confessor Bailey. During this time, Trafford has fallen in love with Sandra Dee, another ""Fizzy Coff"" colleague. He has been ""Goog'ing"" her and discovers that the videos that she ""tubes"" are not of her and her blog entries have been lifted wholesale from other people's blogs. This fascinates Trafford as he sees a kindred spirit in her: someone else who values privacy in a world where everything is made public. Trafford introduces Sandra Dee to the books that Cassius has lent him from the Humanist group's library. The relationship between the pair develops. The Sewells' world is then shattered by the death of Caitlin Happymeal due to a cholera epidemic, a disease against which she was not vaccinated. Chantorria becomes angry, telling Trafford that Caitlin's death is a punishment from God for his heresy in having her vaccinated at all. They are rejected by their community and arrested by the Temple and are tortured into implicating others. Chantorria accepts the torture as her ""just punishment"". As Trafford finally breaks and implicates Cassius, the Inquisitor tells him that they already knew everything, the torture was simply to test his endurance. In his cell, Trafford is visited by Sandra Dee, who turns out to be an undercover police officer, and the reason that the Temple knows all about the Humanists. She tries to recruit Trafford. He refuses and he and Chantorria are taken to the stake to be burned as heretics. On his personal PC, Trafford has set up an email bomb (containing a précis of the Theory of Evolution) which he tricks Sandra Dee into releasing under the pretense that it contains a love-letter from him to her. When being tied to the stake, Trafford notices a girl waving an Ev Love (""evolve"" backwards) banner, showing that she received the e-mail. He goes to his death in hope of a better world, reasoning that a society which promotes ignorance over knowledge and values mediocrity will inevitably die out and ""evolve"" into one that values knowledge and excellence.",18.0,6.909090909090909,,No,Yes,No,,
Winter Rose,Patricia A. McKillip,1996.0,"['speculative', 'fantasy', 'childrens']"," When Rois Melior, the wild daughter of a widowed father, first sees Corbet Lynn step from the woods, she is attracted to him despite a sense that he isn't what he appears to be. As he rebuilds his family's decaying estate, Rose and her sister Laurel both befriend and eventually fall in love with Corbet. The seasons progress as calm, sensible Laurel begins to change, forgetting her earlier betrothal and becoming obsessed with Corbet. In the winter, Corbet mysteriously disappears and Laurel begins to waste away, much like her mother did. The town believes that the curse that Corbet's grandfather lay upon his descendants has claimed him. Only Rois, who has been able to slip in and out of the woods since she was a child, is able to chase after Corbet and save him and her sister. But the power of the fey is a tricky magic, and even as Rois untangles him from his past, she is in constant danger of being ensnared herself.",5.0,7.0,262.0,No,No,No,,Solstice Wood
A Caribbean Mystery,Agatha Christie,1984.0,"['childrens', 'mystery', 'suspense', 'crime']"," ""Would you like to see a picture of a murderer?"", Jane Marple is asked by Major Palgrave whilst on a luxurious holiday in the Caribbean. When she replies that she would like to hear the story, he explains. There once was a man who had a wife who tried to hang herself, but failed. Then she tried again later, and succeeded in killing herself. The man remarried to a woman who then tried to gas herself to death. She failed, but then tried again later and succeeded. Just as Major Palgrave is about to show the picture to her, he looks over her shoulder, appears startled, and changes the subject. The next morning, a servant, Victoria Johnson, finds him dead in his room. Doctor Graham concludes that the man died of heart failure; he showed all the symptoms, and had a bottle of serenite (a drug for high blood pressure) on his table. Miss Marple is convinced that Palgrave was murdered, but needs to see the photograph he was about to show her before seeing something over her shoulder that caused him to stop. She asks Doctor Graham to find it, saying it is a picture of her nephew. Meanwhile, she interviews other people, including Tim and Molly Kendall, the owners of the hotel, Mr Rafiel, an invalid, and Esther Walters, Mr. Rafiel's secretary, Lucky Dyson and her husband and Edward and Evelyn Hillingdon. On the beach when Mr Rafiel is going for a swim, Miss Marple sees Senora de Caspearo, a woman on holiday. She says that she remembers Major Palgrave because he had an evil eye. Miss Marple corrects her that he actually has a glass eye, but she still says that it was evil. Victoria informs the Kendalls that she did not remember seeing the serenite on the man's table when she was tidying up in the afternoon. That night, Victoria is found stabbed. Molly starts having nightmares every night, and Miss Marple investigates why Molly is having nightmares. She finds Jackson in the house looking at Molly's cosmetics, saying that if belladonna was administered to it, then it would cause nightmares. The next night, Tim finds Molly unconscious on the floor, having taken an overdose of sleeping pills. The police are involved, and a cook, Enrico, tells them that he saw Molly Kendall holding a steak knife before going outside. Miss Marple also asks people if Major Palgrave told people about the photo, and other people say that it was not a photo of a wife killer he said, but a husband killer and Miss Marple becomes confused. At night, Tim wakes up the hotel as his wife, Molly, is missing. They find what seems to be her body, in a creek. Miss Marple arrives and tells them that it is not Molly, but Lucky; the two resemble one another. Miss Marple rudely wakes Mr Rafiel at night and tells him that they must prevent another death. They go to Tim and Molly Kendall's house and find Tim asking Molly to drink some wine as it will soothe her down. Miss Marple takes it away from him and gives it to Rafiel, saying that there was a deadly narcotic in it. She explains that Tim Kendall is the wife killer that Major Palgrave had a photo of, but saw him over Miss Marple's shoulder. Miss Marple thought that he saw someone on the right, where the Hillingdons and the Dysons were coming up the beach, but she remembered that he had a glass eye so could not see on his right, but only on his left where Tim and Molly were sitting. Tim was planning to kill his wife, but Major Palgrave recognized him and so had to be killed, and Victoria remembered the serenite so she was killed. Tim put belladonna in Molly's cosmetics to have a reason for her to commit suicide. When Molly accidentally took the sleeping pill overdose, Tim saw his chance and asked her to meet him by the creek. Molly, on her way to the meeting, had a scary vision from the belladonna and wandered off. Tim saw Lucky waiting there and mistook her for Molly and killed her. He was about to poison her when Miss Marple came in. Esther Walters suddenly falls to Tim's knees and says that Tim isn't a killer. Tim shouts at her, asking whether she wants to get him hanged. We learn that Tim was planning to marry Esther, after Molly's death, because he had heard that she was going to inherit a large sum of money from Mr Rafiel. In the epilogue, we see Miss Marple taking her plane back to England, surrounded by her friends from the hotel.",1.0,8.0,256.0,No,Yes,No,The Clocks,Star Over Bethlehem and other stories
