author,books,genres,subgenres,classic,narrator
Stephen King ,"['The Stand', 'The Shining', 'It', 'The Gunslinger', ""'Salem's Lot"", '11/22/63', 'Carrie', 'Pet Sematary', 'The Talisman', 'Wizard and Glass', 'Hearts in Atlantis', 'Needful Things', 'The Dead Zone', 'The Waste Lands', ""Lisey's Story"", 'Doctor Sleep', 'Bag of Bones', 'Duma Key', 'Wolves of the Calla', 'Firestarter', 'Cell', 'Song of Susannah', 'Desperation', 'The Dark Half', 'Joyland', 'Rose Madder', ""'Salem's Lot"", 'Black House', 'Night Shift', 'Revival', 'The Mist', 'The Institute', 'The Tommyknockers', ""Carrie / 'Salem's Lot / The Shining"", 'Cycle of the Werewolf', 'End of Watch', 'The Bazaar of Bad Dreams', 'One Past Midnight: The Langoliers', 'In the Tall Grass', 'The Dead Zone/Cujo', 'From a Buick 8', ""Coffey's Hands"", 'The Bad Death of Eduard Delacroix', 'Night Journey', 'Storm of the Century']","['Horror', 'Fantasy', 'Science Fiction', 'Romance']","['Post Apocalyptic', 'Paranormal', 'Vampires', 'Historical Fiction', 'Time Travel', 'Zombies', 'Epic Fantasy']",no,third-person
Louisa May Alcott,"['Little Women', 'An Old-Fashioned Girl', ""Jo's Boys"", 'Rose in Bloom', 'A Long Fatal Love Chase']",['Romance'],['Historical Fiction'],classic,third-person
Leo Tolstoy,"['Anna Karenina', 'The Cossacks']",['Romance'],['Historical Fiction'],classic,first-person
Diana Gabaldon ,"['Outlander', 'Dragonfly in Amber', 'Voyager', 'Drums of Autumn', 'A Breath of Snow and Ashes', 'The Fiery Cross', 'An Echo in the Bone', ""Written in My Own Heart's Blood"", 'Lord John and the Private Matter', 'Lord John and the Brotherhood of the Blade', 'The Scottish Prisoner', 'The Outlandish Companion: Companion to Outlander, Dragonfly in Amber, Voyager, and Drums of Autumn', 'The Exile: An Outlander Graphic Novel']","['Romance', 'Fantasy', 'Science Fiction']","['Historical Fiction', 'Time Travel', 'Historical Romance']",no,third-person
Roald Dahl,"['Matilda', 'The Witches', 'Switch Bitch', 'The Magic Finger']",['Fantasy'],"['Magic', 'Comedy']",classic,third-person
Daphne du Maurier,"['Rebecca', 'My Cousin Rachel', ""Frenchman's Creek"", 'Jamaica Inn', 'The House on the Strand', 'The Parasites']","['Romance', 'Fantasy', 'Science Fiction']","['Historical Fiction', 'Historical Romance', 'Time Travel']",classic,third-person
Cormac McCarthy,"['The Road', 'Blood Meridian, or the Evening Redness in the West']","['Science Fiction', 'Horror']","['Post Apocalyptic', 'Historical Fiction']",classic,omniscent
Richelle Mead ,"['Vampire Academy', 'Shadow Kiss', 'Frostbite', 'Blood Promise', 'Last Sacrifice', 'Spirit Bound', 'Bloodlines', 'The Golden Lily', 'Silver Shadows', 'Storm Born', 'Iron Crowned', 'Thorn Queen', 'Gameboard of the Gods', 'The Glittering Court']","['Fantasy', 'Romance', 'Science Fiction']","['Vampires', 'Paranormal', 'Urban Fantasy', 'Paranormal Romance', 'Magic', 'Historical Fiction']",no,omniscent
Nicholas Sparks ,"['The Notebook', 'A Walk to Remember', 'Dear John', 'The Last Song', 'Message in a Bottle', 'The Lucky One', 'The Wedding', 'Safe Haven', 'The Guardian', 'A Bend in the Road', 'The Rescue', 'Nights in Rodanthe', 'The Choice', 'At First Sight', 'True Believer', 'The Best of Me', 'The Longest Ride', 'Every Breath']",['Romance'],"['Contemporary Romance', 'Realistic Fiction']",no,first-person
Anne Rice,"['Interview with the Vampire', 'The Vampire Lestat', 'The Witching Hour', 'The Queen of the Damned', 'Memnoch the Devil', 'The Vampire Armand', 'The Mummy', 'The Tale of the Body Thief', 'Blackwood Farm', 'Blood And Gold', 'Merrick', 'Taltos', 'Blood Canticle', 'Prince Lestat', 'Lasher', 'The Feast of All Saints', 'Servant of the Bones', 'Cry to Heaven', 'Violin', 'Prince Lestat and the Realms of Atlantis', 'Angel Time', 'Blood Communion', 'The Wolf Gift', 'The Wolves of Midwinter', 'Of Love and Evil']","['Horror', 'Fantasy', 'Romance', 'Science Fiction']","['Vampires', 'Paranormal', 'Urban Fantasy', 'Historical Fiction', 'Magic', 'Time Travel']",no,third-person
Mikhail Bulgakov,['The Master and Margarita'],['Fantasy'],['Historical Fiction'],classic,third-person
Patrick Rothfuss ,"['The Name of the Wind', ""The Wise Man's Fear""]",['Fantasy'],"['Epic Fantasy', 'High Fantasy', 'Magic']",no,first-person
Christopher Paolini ,"['Eragon', 'Eldest', 'Brisingr', 'Inheritance']",['Fantasy'],"['Magic', 'High Fantasy', 'Epic Fantasy']",no,third-person
Carlos Ruiz Zafon,"['The Shadow of the Wind', ""The Angel's Game"", 'The Prisoner of Heaven', 'The Prince of Mist', 'The Midnight Palace']","['Fantasy', 'Horror']","['Historical Fiction', 'Paranormal']",no,third-person
Becca Fitzpatrick ,"['Hush, Hush', 'Crescendo', 'Silence', 'Finale', 'Black Ice']","['Fantasy', 'Romance']","['Paranormal', 'Paranormal Romance', 'Urban Fantasy']",no,third-person
Neil Gaiman ,"['American Gods', 'Neverwhere', 'Stardust', 'The Graveyard Book', 'Coraline', 'The Ocean at the End of the Lane', 'Preludes & Nocturnes', 'The Absolute Sandman, Volume One', 'Brief Lives', 'Norse Mythology', 'The Kindly Ones', 'Season of Mists', 'The Absolute Sandman, Volume Three', 'Smoke and Mirrors: Short Fiction and Illusions', 'The Absolute Sandman, Volume Two', 'Dream Country', ""The Doll's House"", 'A Game of You', 'The Absolute Sandman, Volume Four', 'Fables & Reflections', 'Death: The High Cost of Living', 'The Wake', ""Worlds' End"", 'InterWorld', 'The Books of Magic', 'The Sandman Omnibus, Vol. 1', 'Fortunately, the Milk', 'MirrorMask', 'Death: The Time of Your Life', 'The Sandman Omnibus, Vol. 2', 'A Calendar of Tales', 'The Sleeper and the Spindle', 'Unnatural Creatures', ""I, Cthulhu, or, What's a Tentacle-Faced Thing Like Me Doing in a Sunken City Like This (Latitude 47deg 9' S, Longitude 126deg 43' W)?""]","['Fantasy', 'Science Fiction', 'Horror', 'Romance']","['Urban Fantasy', 'Magic', 'Paranormal', 'Historical Fiction', 'Time Travel', 'Comedy']",no,third-person
Alexandre Dumas,"['The Count of Monte Cristo', 'Queen Margot, or Marguerite de Valois', 'The Black Tulip', 'Chicot the Jester (The Last Valois, #2)', 'Taking the Bastile']","['Romance', 'Fantasy']",['Historical Fiction'],classic,first-person
Patrick Suskind,['Perfume: The Story of a Murderer'],['Horror'],['Historical Fiction'],classic,third-person
C.S. Lewis,"['The Lion, the Witch and the Wardrobe', ""The Magician's Nephew""]",['Fantasy'],['Magic'],classic,third-person
Colleen McCullough,"['The Thorn Birds', 'The Ladies of Missalonghi', 'Antony and Cleopatra', 'A Creed for the Third Millennium', 'An Indecent Obsession', ""Morgan's Run""]","['Romance', 'Science Fiction']","['Historical Fiction', 'Historical Romance', 'Post Apocalyptic']",classic,third-person
Ian McEwan,"['Atonement', 'On Chesil Beach', 'Sweet Tooth']",['Romance'],['Historical Fiction'],no,third-person
Oscar Wilde,"['The Importance of Being Earnest', 'The Canterville Ghost', 'The Canterville Ghost and Other Stories']","['Romance', 'Fantasy', 'Horror']","['Comedy', 'Paranormal']",classic,third-person
L. Frank Baum,"['The Wonderful Wizard of Oz', 'The Marvelous Land of Oz', 'Ozma of Oz', 'The Magic of Oz']",['Fantasy'],['Magic'],classic,third-person
Terry Pratchett,"['Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch', 'Night Watch', 'The Color of Magic', 'Small Gods', 'Mort', 'Hogfather', 'Going Postal', 'Guards! Guards!', 'Reaper Man', 'The Wee Free Men', 'Thud!', 'The Light Fantastic', 'Equal Rites', 'Soul Music', 'Monstrous Regiment', 'Wyrd Sisters', 'The Fifth Elephant', 'Witches Abroad', 'Nation', 'Feet of Clay', 'Thief of Time', 'The Truth', 'The Amazing Maurice and His Educated Rodents', 'Moving Pictures', 'Carpe Jugulum', 'Men at Arms', 'Maskerade', 'Wintersmith', 'Making Money', 'Pyramids', 'Jingo', 'A Hat Full of Sky', 'Lords and Ladies', 'Snuff', 'The Last Hero', 'I Shall Wear Midnight', 'The Last Continent', 'Eric', 'Sourcery', 'Interesting Times', 'Unseen Academicals', ""The Shepherd's Crown"", 'Only You Can Save Mankind', 'The Carpet People', 'Truckers', 'Strata', 'Diggers', ""Darwin's Watch"", 'The Dark Side of the Sun', 'The Science of Discworld', 'Wings']","['Fantasy', 'Science Fiction']","['Urban Fantasy', 'Comedy', 'Time Travel', 'High Fantasy', 'Magic', 'Historical Fiction', 'Vampires']",no,third-person
Thomas Hardy,"[""Tess of the D'Urbervilles"", 'Far From the Madding Crowd', 'The Return of the Native', 'The Woodlanders', 'A Pair of Blue Eyes', 'Under the Greenwood Tree', 'Two on a Tower']",['Romance'],['Historical Fiction'],classic,first-person
Marion Zimmer Bradley,"['The Mists of Avalon', 'The Firebrand', 'The Forest House', 'The High Queen', 'Priestess of Avalon', 'The King Stag', 'The Catch Trap', 'Black Trillium', 'Lady of Avalon', 'The Forbidden Tower', ""Exile's Song"", 'Darkover Landfall', 'The Heritage of Hastur', 'Thendara House']","['Fantasy', 'Romance', 'Science Fiction']","['Historical Fiction', 'Magic', 'Historical Fantasy', 'High Fantasy', 'Epic Fantasy', 'Paranormal', 'Paranormal Romance', 'Space']",no,third-person
Katherine Paterson,['Bridge to Terabithia'],['Fantasy'],['Realistic Fiction'],classic,omniscent
James Dashner ,"['The Maze Runner', 'The Scorch Trials', 'The Death Cure', 'The Kill Order', 'The Fever Code', 'The Maze Runner Series (The Maze Runner #1-4)', 'The Journal of Curious Letters', 'The Blade of Shattered Hope', 'The Hunt for Dark Infinity', 'A Door in the Woods']","['Science Fiction', 'Fantasy']","['Post Apocalyptic', 'Magic']",no,third-person
Robert Louis Stevenson,"['Treasure Island', 'The Black Arrow', 'Thrawn Janet', 'The Body Snatcher', 'The Bottle Imp']","['Fantasy', 'Romance', 'Horror']","['Historical Fiction', 'Paranormal']",classic,third-person
E.L. James ,"['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed', 'Grey', 'Darker']",['Romance'],"['Contemporary Romance', 'Erotic Romance']",no,third-person
Jean M. Auel,"['The Clan of the Cave Bear', 'The Valley of Horses', 'The Mammoth Hunters', 'The Shelters of Stone', 'The Plains of Passage', 'The Land of Painted Caves']","['Fantasy', 'Romance']",['Historical Fiction'],no,third-person
Ernest Hemingway,['A Farewell to Arms'],['Romance'],['Historical Fiction'],classic,third-person
Gregory Maguire,"['Wicked: The Life and Times of the Wicked Witch of the West', 'Confessions of an Ugly Stepsister', 'Out of Oz', 'A Lion Among Men', 'Mirror Mirror', 'What-the-Dickens: The Story of a Rogue Tooth Fairy']",['Fantasy'],"['Magic', 'Historical Fiction', 'Urban Fantasy']",no,third-person
Philippa Gregory ,"['The Other Boleyn Girl', 'The Constant Princess', ""The Queen's Fool"", 'Wideacre', 'The White Queen', 'The Other Queen', 'The Lady of the Rivers', 'The Boleyn Inheritance', 'Meridon', 'The Favored Child', 'The Red Queen', 'The White Princess', ""The Kingmaker's Daughter"", 'The Wise Woman', ""The Virgin's Lover"", 'Changeling', 'A Respectable Trade']","['Romance', 'Fantasy']","['Historical Fiction', 'Historical Romance', 'Magic', 'Paranormal']",no,third-person
Erin Morgenstern ,"['The Night Circus', 'The Starless Sea']","['Fantasy', 'Romance']","['Historical Fiction', 'Magic']",no,second-person
Lauren Kate ,"['Fallen', 'Torment', 'Passion', 'Rapture', 'Teardrop', 'Unforgiven', 'The Betrayal of Natalie Hargrove', 'Waterfall']","['Fantasy', 'Romance']","['Paranormal', 'Paranormal Romance', 'Urban Fantasy', 'Magic', 'Demons', 'Realistic Fiction']",no,third-person
Sarah J. Maas ,"['Throne of Glass', 'A Court of Mist and Fury', 'A Court of Thorns and Roses', 'Crown of Midnight', 'Heir of Fire', 'Queen of Shadows', 'Empire of Storms', 'A Court of Wings and Ruin', 'Kingdom of Ash', 'Tower of Dawn', 'House of Earth and Blood']","['Fantasy', 'Romance']","['Magic', 'High Fantasy', 'Paranormal', 'Urban Fantasy']",no,third-person
Tracy Chevalier ,"['Girl with a Pearl Earring', 'The Lady and the Unicorn', 'The Virgin Blue']",['Romance'],['Historical Fiction'],no,third-person
Maggie Stiefvater ,"['Shiver', 'The Raven Boys', 'Linger', 'Forever', 'The Dream Thieves', 'The Scorpio Races', 'The Raven King', 'Blue Lily, Lily Blue', ""Lament: The Faerie Queen's Deception"", 'Ballad: A Gathering of Faerie', 'All the Crooked Saints', 'The Curiosities: A Collection of Stories', 'Hunted', 'Call Down the Hawk']","['Fantasy', 'Romance', 'Horror']","['Paranormal', 'Paranormal Romance', 'Urban Fantasy', 'Magic', 'Historical Fiction']",no,third-person
Scott Westerfeld ,"['Uglies', 'Pretties', 'Specials', 'Extras', 'Leviathan', 'The Secret Hour', 'Peeps', 'Touching Darkness', 'Behemoth', 'Blue Noon', 'Goliath', 'Afterworlds', 'Zeroes', 'The Last Days', 'The Risen Empire', 'Nexus', 'Swarm', 'The Killing of Worlds']","['Science Fiction', 'Fantasy', 'Romance', 'Horror']","['Post Apocalyptic', 'Historical Fiction', 'Paranormal', 'Urban Fantasy', 'Magic', 'Vampires', 'Realistic Fiction', 'Space']",no,third-person
Gaston Leroux,['The Phantom of the Opera'],"['Horror', 'Romance', 'Fantasy']",['Historical Fiction'],classic,omniscent
Gail Carson Levine ,"['Ella Enchanted', 'Fairest', 'The Two Princesses of Bamarre', 'Ever', 'The Wish', 'Princess Sonora and the Long Sleep', ""The Fairy's Mistake""]","['Fantasy', 'Romance']",['Magic'],no,third-person
P.C. Cast ,"['Marked', 'Betrayed', 'Untamed', 'Chosen', 'Hunted', 'Tempted', 'Burned', 'Awakened', 'Destined', 'Goddess of Spring', 'Divine By Mistake', 'Goddess of the Rose', 'Hidden', 'Goddess of the Sea', ""Dragon's Oath"", 'Goddess of Light', 'Divine By Choice', 'Warrior Rising', 'Redeemed', 'Goddess of Legend', 'Divine By Blood', 'Nyx in the House of Night: Mythology, Folklore and Religion in the PC and Kristin Cast Vampyre Series', 'After Moonrise', 'Revealed', ""Neferet's Curse"", ""Elphame's Choice"", 'Goddess of Love']","['Fantasy', 'Romance']","['Vampires', 'Paranormal', 'Urban Fantasy', 'Paranormal Romance', 'Magic', 'Time Travel']",no,third-person
Mary Ann Shaffer,['The Guernsey Literary and Potato Peel Pie Society'],['Romance'],['Historical Fiction'],no,third-person
Isabel Allende ,"['The House of the Spirits', 'Daughter of Fortune', 'Eva Luna', 'Portrait in Sepia', 'Ines of My Soul', 'Zorro', 'Of Love and Shadows', 'The Japanese Lover', 'Island Beneath the Sea', 'The Stories of Eva Luna', 'The Infinite Plan']","['Fantasy', 'Romance']",['Historical Fiction'],no,third-person
Diana Wynne Jones,"[""Howl's Moving Castle"", 'Charmed Life', 'The Lives of Christopher Chant', 'House of Many Ways', 'Castle in the Air', 'Fire and Hemlock', ""Archer's Goon"", 'Witch Week', 'Enchanted Glass', 'Deep Secret', 'The Tough Guide to Fantasyland', ""Conrad's Fate"", 'Eight Days of Luke', 'Hexwood', 'Dark Lord of Derkholm', 'The Spellcoats']","['Fantasy', 'Romance', 'Science Fiction']","['Magic', 'High Fantasy', 'Urban Fantasy', 'Time Travel', 'Comedy']",no,omniscent
Lauren Oliver ,"['Delirium', 'Before I Fall', 'Requiem', 'Panic', 'Vanishing Girls', 'The Spindlers']","['Romance', 'Science Fiction', 'Fantasy']","['Post Apocalyptic', 'Realistic Fiction', 'Paranormal', 'Magic']",no,third-person
Jamie McGuire ,"['Beautiful Disaster', 'Walking Disaster', 'Beautiful Oblivion', 'Eden', 'Red Hill', 'Beautiful Redemption', 'All the Little Lights', 'Beautiful Sacrifice', 'Sweet Nothing']","['Romance', 'Fantasy', 'Horror']","['Contemporary Romance', 'Paranormal', 'Paranormal Romance', 'Demons', 'Zombies', 'Post Apocalyptic']",no,third-person
Ki Longfellow ,['Flow Down Like Silver: Hypatia of Alexandria'],['Romance'],['Historical Fiction'],classic,omniscent
Cornelia Funke ,"['Inkheart', 'Inkspell', 'Inkdeath', 'The Thief Lord', 'Dragon Rider', 'Reckless', 'Igraine the Brave', 'When Santa Fell to Earth', 'Fearless']","['Fantasy', 'Romance']","['Magic', 'Historical Fiction']",no,third-person
Christopher Moore ,"[""Lamb: The Gospel According to Biff, Christ's Childhood Pal"", 'A Dirty Job', 'Fool', 'The Stupidest Angel: A Heartwarming Tale of Christmas Terror', 'The Lust Lizard of Melancholy Cove', 'Island of the Sequined Love Nun', 'Fluke: Or, I Know Why the Winged Whale Sings', 'Bloodsucking Fiends', 'Bite Me', ""Sacre Bleu: A Comedy d'Art"", 'Practical Demonkeeping', 'You Suck', 'Coyote Blue']","['Fantasy', 'Horror', 'Science Fiction', 'Romance']","['Historical Fiction', 'Comedy', 'Paranormal', 'Urban Fantasy', 'Zombies', 'Vampires', 'Demons']",no,first-person
Elizabeth Kostova,"['The Historian', 'The Swan Thieves']","['Fantasy', 'Horror', 'Romance']","['Historical Fiction', 'Vampires', 'Paranormal']",no,omniscent
Kristin Cashore,"['Graceling', 'Fire', 'Bitterblue']","['Fantasy', 'Romance']","['Magic', 'High Fantasy', 'Paranormal']",no,third-person
Diane Setterfield ,['The Thirteenth Tale'],['Fantasy'],['Historical Fiction'],no,third-person
Isaac Asimov,"['Foundation', 'The End of Eternity', 'Second Foundation', 'Foundation and Empire', 'The Gods Themselves', 'Foundation and Earth', ""Foundation's Edge"", 'Prelude to Foundation', 'Forward the Foundation', 'Nightfall', 'The Ugly Little Boy', 'Pebble in the Sky', 'Nemesis']","['Science Fiction', 'Fantasy']","['Space', 'Time Travel', 'Post Apocalyptic', 'Historical Fiction']",classic,third-person
H.G. Wells,"['The Time Machine', 'The First Men in the Moon', 'The Time Machine/The War of the Worlds', 'The War of the Worlds/The Invisible Man/The Time Machine', 'The Last War: A World Set Free', 'When the Sleeper Wakes']","['Science Fiction', 'Fantasy', 'Horror']","['Time Travel', 'Space', 'Post Apocalyptic']",classic,third-person
Rainbow Rowell ,"['Fangirl', 'Eleanor & Park', 'Carry On', 'Attachments', 'Wayward Son', 'Pumpkinheads']","['Romance', 'Fantasy']","['Realistic Fiction', 'Magic', 'Vampires', 'Contemporary Romance']",no,third-person
Charlaine Harris ,"['Dead Until Dark', 'Dead to the World', 'Club Dead', 'Living Dead in Dallas', 'Dead as a Doornail', 'From Dead to Worse', 'All Together Dead', 'Dead and Gone', 'Dead in the Family', 'Dead Reckoning', 'Deadlocked', 'Grave Sight', 'An Ice Cold Grave', 'Grave Surprise', 'Grave Secret', 'Midnight Crossroad', 'Dead Ever After']","['Fantasy', 'Romance', 'Horror']","['Vampires', 'Paranormal', 'Urban Fantasy', 'Paranormal Romance', 'Magic']",no,third-person
Ernest Cline ,"['Ready Player One', 'Armada']","['Science Fiction', 'Fantasy']","['Cyberpunk', 'Space']",no,first-person
George Eliot,"['Middlemarch', 'Daniel Deronda']",['Romance'],['Historical Fiction'],classic,first-person
Helen Fielding ,"[""Bridget Jones's Diary"", 'Bridget Jones: The Edge of Reason', 'Mad About the Boy', 'Olivia Joules and the Overactive Imagination']",['Romance'],['Comedy'],no,first-person
Philip K. Dick,"['Do Androids Dream of Electric Sheep?', 'The Man in the High Castle', 'A Scanner Darkly', 'Now Wait for Last Year', 'The Minority Report', 'Time Out of Joint', 'Martian Time-Slip', 'The Variable Man', 'Counter-Clock World']","['Science Fiction', 'Fantasy']","['Cyberpunk', 'Historical Fiction', 'Time Travel']",classic,omniscent
Jojo Moyes ,"['Me Before You', 'After You', 'The Girl You Left Behind', 'One Plus One', 'The Last Letter from Your Lover', 'Still Me', 'The Ship of Brides', 'The Giver of Stars']",['Romance'],"['Realistic Fiction', 'Contemporary Romance', 'Historical Fiction']",no,third-person
Brandon Sanderson ,"['The Way of Kings', 'The Final Empire', 'Words of Radiance', 'The Hero of Ages', 'The Well of Ascension', 'Elantris', 'Warbreaker', 'Oathbringer', 'Steelheart', 'The Alloy of Law', 'Skyward', 'The Rithmatist', 'The Bands of Mourning', 'Legion', 'Alcatraz Versus the Evil Librarians', 'Shadows of Self', 'Calamity', ""Alcatraz Versus the Scrivener's Bones"", 'Alcatraz Versus the Knights of Crystallia', 'Firefight', 'The Way of Kings', 'The Way of Kings', 'Starsight', 'Redemption']","['Fantasy', 'Romance', 'Science Fiction']","['Epic Fantasy', 'High Fantasy', 'Magic', 'Urban Fantasy', 'Space', 'Post Apocalyptic']",no,third-person
Gayle Forman ,"['If I Stay', 'Where She Went', 'Just One Day', 'I Was Here', 'Just One Year', 'Sisters in Sanity']",['Romance'],['Realistic Fiction'],no,first-person
