,User-ID,Location,Age,Country
161,21011,"san francisco, california, usa",44.0,usa
162,21014,"fresno, california, usa",,usa
163,21031,"alexandria, virginia, usa",36.0,usa
164,21356,"westwood, new jersey, usa",56.0,usa
165,21364,"san diego, california, usa",32.0,usa
166,21404,"west vancouver, british columbia, canada",,canada
167,21484,"madison, wisconsin, usa",21.0,usa
168,21575,"albuquerque, new mexico, usa",14.0,usa
169,21576,"memphis, tennessee, usa",31.0,usa
170,21618,"atlanta, georgia, usa",24.0,usa
171,21659,"san jose, california, usa",31.0,usa
172,21895,"olyphant, pennsylvania, usa",16.0,usa
173,21930,"elk grove, california, usa",28.0,usa
174,22045,"sacramento, california, usa",,usa
175,22074,"san luis obispo, california, usa",,usa
176,22521,"montgomery, alabama, usa",18.0,usa
177,22625,"lynbrook, new york, usa",54.0,usa
178,22657,"coeur d`alene, idaho, usa",,usa
179,22813,"grimsby, ontario, canada",,canada
180,22936,"raleigh, north carolina, usa",23.0,usa
181,23020,"brooklyn, new york, usa",28.0,usa
182,23511,"chapel hill, north carolina, usa",56.0,usa
183,23571,"burbank, california, usa",41.0,usa
184,23699,"minneapolis, minnesota, usa",25.0,usa
185,23768,"st. louis, missouri, usa",45.0,usa
186,23771,"ogden, utah, usa",,usa
187,23872,"tulsa, oklahoma, usa",22.0,usa
188,23902,"london, england, united kingdom",,kingdom
189,24186,"vineland, new jersey, usa",36.0,usa
190,24194,"palos hills, illinois, usa",20.0,usa
191,24427,"lafayette, new york, usa",,usa
192,24433,"deventer, overijssel, netherlands",37.0,netherlands
193,24515,"jacksonville, florida, usa",28.0,usa
194,24921,"higley, arizona, usa",29.0,usa
195,24933,"long island, new york, usa",44.0,usa
196,25131,"grimes, iowa, usa",,usa
197,25395,"moyock, north carolina, usa",65.0,usa
198,25409,"la mesa, california, usa",31.0,usa
199,25533,"derby, derbyshire, united kingdom",38.0,kingdom
200,25545,"hollsopple, pennsylvania, usa",33.0,usa
201,25583,"worcester, massachusetts, usa",,usa
202,25601,"gilbert, arizona, usa",41.0,usa
203,25919,"evansville, indiana, usa",,usa
204,25930,"hillsborough, new jersey, usa",,usa
205,25981,"nj, new jersey, usa",,usa
206,25996,"cave creek, arizona, usa",36.0,usa
207,26057,"halifax, nova scotia, canada",18.0,canada
208,26231,"st. thomas, ontario, canada",36.0,canada
209,26240,"sacramento, california, usa",,usa
210,26544,"woodbridge, virginia, usa",37.0,usa
211,26553,"charlottesville, virginia, usa",,usa
212,26611,"mckinney, texas, usa",,usa
213,26620,"napa, california,",,
214,26621,"haskell, new jersey, usa",,usa
215,26756,"willowick, ohio, usa",35.0,usa
216,26883,"vienna, vienna, austria",,austria
217,27204,"auburndale, florida, usa",18.0,usa
218,27313,"miami, florida, usa",14.0,usa
219,27352,"st. louis, missouri, usa",,usa
220,27472,"bountiful, utah, usa",41.0,usa
221,27617,"beaverton, ontario, canada",32.0,canada
222,27647,"lisboa, lisboa, portugal",,portugal
223,27740,"san diego, , usa",57.0,usa
224,27812,"long beach, california, usa",33.0,usa
225,28016,"port clinton, ohio, usa",31.0,usa
226,28144,"orlando, florida, usa",,usa
227,28150,"portland, oregon, usa",25.0,usa
228,28177,"grand rapids, michigan, usa",26.0,usa
229,28204,"south ohio, nova scotia, canada",61.0,canada
230,28255,"richmond hill, ,",23.0,
231,28523,"springfield, missouri, usa",24.0,usa
232,28634,"bad axe, michigan, usa",28.0,usa
233,28667,"norwood, massachusetts, usa",26.0,usa
234,28735,"hannover, niedersachsen, germany",58.0,germany
235,29028,"scarsdale, new york, usa",28.0,usa
236,29209,"boca raton, florida, usa",,usa
237,29259,"mt. airy, , usa",39.0,usa
238,29526,"knoxville, tennessee, usa",26.0,usa
239,30022,"queens village, new york, usa",37.0,usa
240,30035,"vancouver, british columbia, canada",37.0,canada
241,30052,"minneapolis, minnesota, usa",,usa
242,30081,"east providence, rhode island, usa",25.0,usa
243,30276,"wildwood, new jersey, usa",49.0,usa
244,30333,"ogallala, nebraska, usa",,usa
245,30445,"kuala lumpur, ,",23.0,
246,30487,"newbury park, california, usa",40.0,usa
247,30495,"charleston, south carolina, usa",19.0,usa
248,30511,"culemborg, gelderland, netherlands",,netherlands
249,30531,"st. petersburg, florida, usa",23.0,usa
250,30533,"charleston, south carolina, usa",,usa
251,30594,"redding, , usa",25.0,usa
252,30667,"salem, virginia, usa",24.0,usa
253,30711,"sydney, new south wales, australia",32.0,australia
254,30735,"corvallis, oregon, usa",,usa
255,30806,"halifax, nova scotia, canada",24.0,canada
256,30810,"berlin, berlin, germany",,germany
257,30898,"richmond, virginia, usa",43.0,usa
258,30968,"poway, california, usa",65.0,usa
259,30972,"columbiana, alabama, usa",47.0,usa
260,30985,"cape coral, florida, usa",,usa
261,30994,"mission hills, california, usa",,usa
262,31094,"cleveland, wisconsin, usa",,usa
263,31315,"henryville, indiana, usa",34.0,usa
264,31343,"mesa, arizona, usa",75.0,usa
265,31391,"wilmington, massachusetts, usa",38.0,usa
266,31393,"portland, oregon, usa",,usa
267,31471,"livingston, louisiana, usa",,usa
268,31556,"chula vista, california, usa",51.0,usa
269,31826,"jasper, missouri, usa",54.0,usa
270,31846,"phoenix, , usa",,usa
271,31950,"canberra, australian capital territory, australia",34.0,australia
272,32188,"st. louis, missouri, usa",51.0,usa
273,32195,"fall river, massachusetts, usa",,usa
274,32250,"gta, ontario, canada",29.0,canada
275,32440,"dunedin, otago, new zealand",,zealand
276,32599,"york, south carolina, usa",17.0,usa
277,32721,"toulouse, haute-garonne, france",36.0,france
278,32773,"olathe, kansas, usa",28.0,usa
279,32802,"courtenay, british columbia, canada",,canada
280,33124,"london, ontario, canada",,canada
281,33179,"freedonia, emilia romagna, antarctica",,antarctica
282,33283,"winnipeg, manitoba, canada",26.0,canada
283,33319,"calgary, alberta, canada",24.0,canada
284,33816,"richmond hill, ontario, canada",33.0,canada
285,33818,"winnipeg, manitoba, canada",29.0,canada
286,33832,"sterling, virginia, usa",,usa
287,33862,"abingdon, maryland, usa",,usa
288,33933,"hull, massachusetts, usa",35.0,usa
289,33974,"barnhart, missouri, usa",24.0,usa
290,33999,"pittsburgh, pennsylvania, usa",51.0,usa
291,34300,"burlington, ontario, canada",35.0,canada
292,34588,"west linn, oregon, usa",,usa
293,34932,"portland, oregon, usa",,usa
294,35320,"melbourne, victoria, australia",24.0,australia
295,35445,"terre haute, indiana, usa",31.0,usa
296,35704,"kansas city, missouri, usa",53.0,usa
297,35836,"rochester, new york, usa",34.0,usa
298,35857,"mentor, ohio, usa",36.0,usa
299,35859,"duluth, minnesota, usa",,usa
300,35918,"reno, nevada, usa",,usa
301,36003,"shah alam, selangor, malaysia",26.0,malaysia
302,36135,"charleston, south carolina, usa",,usa
303,36157,"austin, texas, usa",,usa
304,36256,"amarillo, texas, usa",39.0,usa
305,36299,"austin, texas, usa",50.0,usa
306,36327,"wirtz, virginia, usa",,usa
307,36554,"carrboro, north carolina, usa",48.0,usa
308,36606,"san marcos, california, usa",39.0,usa
309,36609,"zachary, louisiana, usa",32.0,usa
310,36715,"lexington, kentucky, usa",,usa
311,36807,"wisconsin rapids, wisconsin, usa",27.0,usa
312,36817,"south hadley, massachusetts, usa",29.0,usa
313,36836,"raleigh, north carolina, usa",56.0,usa
314,36907,"dunnville, ontario, canada",39.0,canada
315,36938,"saint paul, minnesota, usa",43.0,usa
316,36978,"monrovia, maryland, usa",,usa
317,37030,"la monte, missouri, usa",42.0,usa
318,37168,"bakersfield, california, usa",46.0,usa
319,37227,"hamilton, ohio, usa",27.0,usa
320,37239,"the colony, texas, usa",,usa
321,37293,"whitehorse, yukon territory, canada",41.0,canada
322,37311,"oroville, california, usa",,usa
323,37400,"portland, oregon, usa",27.0,usa
324,37538,"kuala lumpur, n/a, malaysia",,malaysia
325,37644,"sudbury, massachusetts, usa",18.0,usa
326,37712,"cincinnati, ohio, usa",23.0,usa
327,37874,"williamsburg, virginia, usa",43.0,usa
328,37950,"calgary, alberta, canada",,canada
329,37989,"union city, california, usa",57.0,usa
330,38023,"hayward, california, usa",30.0,usa
331,38176,"harleysville, pennsylvania, usa",,usa
332,38273,"chandler, arizona, usa",,usa
333,38281,"barcelona, catalunya, spain",33.0,spain
334,38544,"newark, delaware, usa",34.0,usa
335,38556,"edmonton, alberta, canada",,canada
336,38654,"kitchener, ontario, canada",17.0,canada
337,38703,"greer, south carolina, usa",49.0,usa
338,38933,"san diego, california, usa",37.0,usa
339,39227,"san diego, california, usa",37.0,usa
340,39281,"morris plains, new jersey, usa",45.0,usa
341,39345,"jacksonville, florida, usa",47.0,usa
342,39396,"bonn, nordrhein-westfalen, germany",20.0,germany
343,39467,"barcelona, catalunya, spain",35.0,spain
344,39513,"red deer, alberta, canada",,canada
345,39616,"las vegas, nevada, usa",38.0,usa
346,39646,"fairless hills, pennsylvania, usa",35.0,usa
347,39773,"miami, florida, usa",49.0,usa
348,40330,"germantown, maryland, usa",,usa
349,40415,"san francisco, california, usa",34.0,usa
350,40505,"kalamazoo, ,",,
351,40888,"lethbridge, alberta, canada",49.0,canada
352,40889,"brainerd, minnesota, usa",37.0,usa
353,40943,"oklahoma city, oklahoma, usa",40.0,usa
354,41080,"stow, massachusetts, usa",,usa
355,41084,"orlando, florida, usa",36.0,usa
356,41111,"new york, new york, usa",25.0,usa
357,41403,"san francisco, california, usa",,usa
358,41450,"denver, colorado, usa",,usa
359,41455,"toronto, ontario, canada",,canada
360,41589,"bellingham, washington, usa",51.0,usa
361,41781,"clinton twp., michigan, usa",54.0,usa
362,41841,"sherwood park, alberta, canada",,canada
363,42093,"fair haven, new jersey, usa",50.0,usa
364,42099,"st. louis, missouri, usa",47.0,usa
365,42419,"west seneca, new york, usa",33.0,usa
366,42458,"north york, ontario, canada",47.0,canada
367,42597,"san pedro, california, usa",52.0,usa
368,42914,"clarksville, indiana, usa",26.0,usa
369,43006,"portland, maine, usa",29.0,usa
370,43021,"carbondale, illinois, usa",,usa
371,43246,"toronto, ontario, canada",36.0,canada
372,43481,"bridgewater, connecticut, usa",57.0,usa
373,43619,"shrewsbury, massachusetts, usa",26.0,usa
374,43626,"matamoras, pennsylvania, usa",41.0,usa
375,43687,"sacramento, california, usa",27.0,usa
376,43806,"delano, minnesota, usa",31.0,usa
377,43842,"tucson, ,",,
378,43910,"granada hills, california, usa",43.0,usa
379,44089,"leduc, ,",,
380,44252,"fairview, new jersey, usa",28.0,usa
381,44611,"cary, north carolina, usa",20.0,usa
382,44663,"klang, selangor, malaysia",,malaysia
383,44845,"dallas, texas, usa",29.0,usa
384,44852,"spring, texas, usa",39.0,usa
385,44893,"alexandria, virginia, usa",,usa
386,45107,"montgomery twp, pennsylvania, usa",,usa
387,45315,"ada, michigan, usa",,usa
388,45340,"canton, ohio, usa",,usa
389,45391,"littleton, colorado, usa",23.0,usa
390,45418,"dingmans ferry, pennsylvania, usa",51.0,usa
391,45471,"venice, california, usa",,usa
392,45557,"flossmoor, illinois, usa",33.0,usa
393,45879,"sebastopol, california, usa",,usa
394,46269,"recife, pernambuco, brazil",26.0,brazil
395,46398,"san antonio, texas, usa",37.0,usa
396,46443,"asheville, north carolina, usa",14.0,usa
397,46671,"chery hill, new jersey, usa",49.0,usa
398,46892,"northridge, california, usa",35.0,usa
399,46907,"marysville, washington, usa",,usa
400,46909,"howell, new jersey, usa",31.0,usa
401,47118,"ellensburg, washington, usa",42.0,usa
402,47128,"elmhurst, illinois, usa",33.0,usa
403,47152,"blair, nebraska, usa",33.0,usa
404,47316,"comanche, texas, usa",,usa
405,47512,"melzo, lombardia, italy",28.0,italy
406,47609,"lubbock, texas, usa",34.0,usa
407,47779,"webster, new york, usa",,usa
408,47793,"natick, massachusetts, usa",,usa
409,47856,"ottawa, ontario, canada",32.0,canada
410,47971,"toronto, ontario, canada",40.0,canada
411,48025,"concordia, missouri, usa",43.0,usa
412,48046,"central sq., new york, usa",,usa
413,48213,"san mateo, california, usa",,usa
414,48217,"portland, oregon, usa",40.0,usa
415,48268,"vienna, vienna, austria",18.0,austria
416,48355,"florence, arizona, usa",35.0,usa
417,48494,"lemon grove, california, usa",51.0,usa
418,48911,"new orleans, louisiana, usa",57.0,usa
419,48975,"beaver dams, new york, usa",,usa
420,49109,"west jordan, utah, usa",38.0,usa
421,49155,"barcelona, ,",26.0,
422,49212,"san francisco, california, usa",38.0,usa
423,49225,"medina, ohio, usa",,usa
424,49392,"boston, massachusetts, usa",28.0,usa
425,49422,"regensburg, bayern, germany",,germany
426,49460,"., kansas, usa",37.0,usa
427,49771,"san antonio, texas,",35.0,
428,49889,"orem, utah, usa",,usa
429,49980,"new hartford, new york, usa",27.0,usa
430,50073,"south portland, maine, usa",,usa
431,50141,"minneapolis, minnesota, usa",58.0,usa
432,50204,"lebanon, pennsylvania, usa",36.0,usa
433,50225,"fresno, california, usa",,usa
434,50681,"asheville, north carolina, usa",50.0,usa
435,50730,"mcallen, texas, usa",,usa
436,50849,"prince albert, saskatchewan, canada",52.0,canada
437,50895,"calverton, new york, usa",,usa
438,51252,"yucca valley, california, usa",,usa
439,51350,"monroe, ,",,
440,51365,"shelbyville, kentucky, usa",48.0,usa
441,51450,"lawrenceville, georgia, usa",54.0,usa
442,51526,"long beach, california, usa",34.0,usa
443,51742,"brooklyn, new york, usa",,usa
444,51803,"brantford, ontario, canada",34.0,canada
445,51883,"jasper, missouri, usa",31.0,usa
446,51992,"west fairlee, vermont, usa",43.0,usa
447,52159,"richmond, california, usa",49.0,usa
448,52175,"johnstown, pennsylvania, usa",,usa
449,52199,"houston, texas, usa",47.0,usa
450,52256,"duluth, minnesota, usa",17.0,usa
451,52350,"lisboa, n/a, portugal",31.0,portugal
452,52521,"safety harbor, florida, usa",38.0,usa
453,52584,"livermore, california, usa",45.0,usa
454,52807,"three hills, alberta, canada",38.0,canada
455,52853,"yuba city, california, usa",61.0,usa
456,52917,"bellevue, washington, usa",42.0,usa
457,53174,"orlando, florida, usa",29.0,usa
458,53220,"fullerton, california, usa",36.0,usa
459,53241,"hillsborough, new jersey, usa",,usa
460,53256,"sterlington, louisiana, usa",21.0,usa
461,53278,"toronto, ontario, canada",34.0,canada
462,53304,"south burlington, vermont, usa",52.0,usa
463,53392,"minneapolis, minnesota, usa",34.0,usa
464,53418,"puyallup, washington, usa",28.0,usa
465,53456,"ne portland, oregon,",,
466,53605,"davao, davao del sur, philippines",17.0,philippines
467,53614,"barreiro, barreiro, portugal",30.0,portugal
468,53628,"brest, bretagne, france",22.0,france
469,53663,"baltimore, maryland, usa",51.0,usa
470,53729,"balingup, western australia, australia",,australia
471,53846,"bloomington, indiana, usa",55.0,usa
472,54335,"north haven, connecticut, usa",43.0,usa
473,54622,"kuala lumpur, federal territory, malaysia",,malaysia
474,54652,"lake charles, louisiana, usa",30.0,usa
475,54884,"nashua, new hampshire, usa",33.0,usa
476,55027,"burlington, north carolina, usa",44.0,usa
477,55075,"seattle, washington, usa",33.0,usa
478,55097,"greenville, illinois, usa",,usa
479,55187,"torrance, california, usa",48.0,usa
480,55197,"narre warren, victoria,",37.0,
481,55398,"cheyenne, oklahoma, usa",,usa
482,55490,"rapid city, south dakota, usa",25.0,usa
483,55492,"antioch, illinois, usa",43.0,usa
484,55493,"chatham, ontario, canada",35.0,canada
485,55548,"chamblee, georgia, usa",,usa
486,55550,"northern, virginia, usa",42.0,usa
487,55607,"washington, dc, usa",,usa
488,55734,"calgary, alberta, canada",37.0,canada
489,55751,"hesperia, california, usa",,usa
490,55789,"pittsburgh, pennsylvania, usa",35.0,usa
491,55799,"scarborough, ontario, canada",,canada
492,55858,"dartmouth, nova scotia, canada",28.0,canada
493,55892,"plantersville, texas, usa",45.0,usa
494,55927,"roscoe, minnesota, usa",17.0,usa
495,56271,"leeds, england, united kingdom",22.0,kingdom
496,56272,"pickering, ontario, canada",19.0,canada
497,56307,"el segundo, california, usa",,usa
498,56391,"tijeras, nm, usa",40.0,usa
499,56399,"n/a, surrey, united kingdom",63.0,kingdom
500,56447,"sturgis, michigan, usa",22.0,usa
501,56554,"rural hall, north carolina, usa",39.0,usa
502,56661,"green, ohio, usa",,usa
503,56804,"southbridge, canterbury, new zealand",,zealand
504,56856,"escondido, california, usa",23.0,usa
505,56959,"monroe twp., new jersey, usa",52.0,usa
506,57095,"cincinnati, ohio, usa",18.0,usa
507,57302,"ames, iowa, usa",32.0,usa
508,57398,"tigard, oregon, usa",39.0,usa
509,57599,"portland, oregon, usa",27.0,usa
510,57713,"silver spring, maryland, usa",52.0,usa
511,57725,"wilmington, delaware, usa",43.0,usa
512,57976,"eugene, oregon, usa",,usa
513,58062,"chicago, illinois, usa",52.0,usa
514,58067,"donostia, gipuzkoa, euskal herria",26.0,herria
515,58529,"denver, colorado, usa",36.0,usa
516,58594,"baltimore, maryland, usa",33.0,usa
517,58961,"allston, massachusetts, usa",34.0,usa
518,59038,"san antonio, texas, usa",28.0,usa
519,59059,"sarasota, florida, usa",19.0,usa
520,59150,"victoria, british columbia, canada",37.0,canada
521,59172,"owen sound, ontario, canada",36.0,canada
522,59209,"markham, ontario, canada",41.0,canada
523,59269,"indianapolis, indiana, usa",,usa
524,59305,"san francisco, california, usa",27.0,usa
525,59727,"plano, texas, usa",24.0,usa
526,59912,"pasadena, california, usa",27.0,usa
527,60050,"brooklyn, new york, usa",40.0,usa
528,60168,"warrenton, missouri, usa",,usa
529,60244,"alvin, texas, usa",47.0,usa
530,60263,"middletown, delaware, usa",52.0,usa
531,60319,"haddonfield, new jersey, usa",,usa
532,60337,"st. marys, georgia, usa",50.0,usa
533,60427,"basingstoke, england, united kingdom",37.0,kingdom
534,60445,"houston, texas, usa",31.0,usa
535,60475,"norfolk, virginia, usa",,usa
536,60546,"santa maria, california, usa",,usa
537,60583,"antioch, illinois, usa",,usa
538,60621,"edwardsville, illinois, usa",57.0,usa
539,60707,"manchester, new hampshire, usa",38.0,usa
540,60858,"sacramento, california, usa",25.0,usa
541,60944,"engelhard, north carolina, usa",,usa
542,61021,"winnipeg, manitoba, canada",38.0,canada
543,61028,"charleston, south carolina, usa",50.0,usa
544,61038,"riverside public library, illinois, usa",53.0,usa
545,61147,"ebensee, oberoesterreich, austria",44.0,austria
546,61257,"lake placid, florida, usa",25.0,usa
547,61348,"venice, california, usa",28.0,usa
548,61427,"morgan hill, california, usa",,usa
549,61798,"rockville, maryland, usa",,usa
550,61854,"boulder city, nevada, usa",,usa
551,61910,"las cruces, new mexico, usa",44.0,usa
552,62009,"cambridge, massachusetts, usa",,usa
553,62272,"lake mary, florida, usa",30.0,usa
554,62464,"el cajon, california, usa",26.0,usa
555,62542,"cudahy, wisconsin, usa",40.0,usa
556,62558,"rochester, minnesota, usa",,usa
557,62862,"new milford, connecticut, usa",47.0,usa
558,62881,"milwaukee, wisconsin, usa",39.0,usa
559,62891,"hi nella, new jersey, usa",27.0,usa
560,62958,"redwood city, california, usa",23.0,usa
561,62968,"pittsburgh, pennsylvania, usa",23.0,usa
562,63360,"kansas city, missouri, usa",29.0,usa
563,63394,"eufaula, alabama, usa",22.0,usa
564,63507,"lomita, california, usa",,usa
565,63625,"torrance, california, usa",15.0,usa
566,63714,"milton keynes, england, united kingdom",29.0,kingdom
567,63854,"waterloo, ontario, canada",45.0,canada
568,63923,"dublin, dublin, ireland",21.0,ireland
569,63956,"emporia, kansas, usa",28.0,usa
570,64310,"smyrna, georgia, usa",46.0,usa
571,64436,"san ramon, california, usa",36.0,usa
572,64535,"fredericksburg, virginia, usa",43.0,usa
573,65032,"norwood, massachusetts, usa",17.0,usa
574,65228,"uniontown, ohio, usa",58.0,usa
575,65238,"savannah, georgia, usa",31.0,usa
576,65258,"saginaw, michigan, usa",42.0,usa
577,65584,"tulsa, oklahoma, usa",26.0,usa
578,65663,"syracuse, new york, usa",32.0,usa
579,65769,"staten island, ,",36.0,
580,65791,"salem, virginia, usa",29.0,usa
581,65877,"tonawanda, new york, usa",,usa
582,66073,"aptos, california, usa",28.0,usa
583,66387,"kokomo, indiana, usa",52.0,usa
584,66443,"pierrefonds, quebec, canada",29.0,canada
