,Name,Birth Year,Genres,Books
10,Niccolò Machiavelli,1469.0,,[]
11,Robert A. Heinlein,1907.0,['Science fiction'],"['Orphans of the Sky', ""Methuselah's Children"", 'The Moon Is a Harsh Mistress', 'Time Enough for Love', 'The Number of the Beast (novel)', 'The Cat Who Walks Through Walls', 'To Sail Beyond the Sunset', ""Methuselah's Children"", 'Orphans of the Sky', 'Time Enough for Love', 'The Number of the Beast (novel)', 'The Cat Who Walks Through Walls', 'To Sail Beyond the Sunset', 'The Number of the Beast (novel)', 'Space Cadet', 'Red Planet (novel)', 'Farmer in the Sky', 'Between Planets', 'The Rolling Stones (novel)', 'The Star Beast (novel)', 'Tunnel in the Sky', 'Time for the Stars', 'Citizen of the Galaxy', 'Have Space Suit—Will Travel', 'Beyond This Horizon', 'Sixth Column', 'The Puppet Masters', 'Double Star', 'The Door into Summer', 'Starship Troopers', 'Stranger in a Strange Land', 'Podkayne of Mars', 'Glory Road', ""Farnham's Freehold"", 'The Moon Is a Harsh Mistress', 'I Will Fear No Evil', 'Friday (novel)', 'Job: A Comedy of Justice', 'Expanded Universe (book)']"
12,Michael Ondaatje,1943.0,,[]
13,Mike Gayle,1970.0,"Lad lit, popular fiction",[]
14,Stel Pavlou,1970.0,"Thriller, speculative fiction, science fiction, adventure",[]
15,J. D. Salinger,1919.0,,"['The Catcher in the Rye', 'Nine Stories (Salinger)', 'Franny and Zooey', 'Raise High the Roof Beam, Carpenters and Seymour: An Introduction', 'The Catcher in the Rye']"
16,Mary Higgins Clark,1927.0,,"['A Stranger Is Watching', 'A Cry in the Night (novel)', 'While My Pretty One Sleeps', 'Loves Music, Loves to Dance', 'Remember Me (Mary Higgins Clark novel)', ""We'll Meet Again (novel)"", 'No Place Like Home (novel)', 'I Heard That Song Before', 'Where Are You Now? (novel)', 'Just Take My Heart']"
17,Ken Follett,1949.0,['Historical fiction'],"['The Pillars of the Earth', 'Winter of the World', 'The Key to Rebecca', 'The Man from St. Petersburg', 'Lie Down with Lions', 'Night Over Water', 'A Dangerous Fortune', 'The Third Twin', 'Code to Zero', 'Jackdaws (novel)', 'Never (novel)', 'Eye of the Needle (novel)', 'Triple (novel)', 'The Key to Rebecca', 'The Man from St. Petersburg', 'Lie Down with Lions', 'Night Over Water', 'The Third Twin', 'Code to Zero', 'Jackdaws (novel)', 'Whiteout (Follett novel)', 'Never (novel)', 'A Dangerous Fortune', 'The Pillars of the Earth', 'World Without End (Follett novel)', 'A Column of Fire', 'The Evening and the Morning', 'Fall of Giants', 'Winter of the World', 'Edge of Eternity (novel)']"
18,Mitch Albom,1958.0,Non-fictionFiction,[]
19,David Morrell,1943.0,['ActionThriller'],['First Blood (novel)']
20,Paul Theroux,1941.0,,"['Girls at Play', 'Jungle Lovers', 'Saint Jack', 'The Family Arsenal', 'The Mosquito Coast (novel)', 'Millroy the Magician', 'Kowloon Tong (novel)', 'Blinding Light', 'The Great Railway Bazaar', 'Riding the Iron Rooster', 'The Happy Isles of Oceania', 'Ghost Train to the Eastern Star', 'Waldo (novel)', 'Jungle Lovers', 'Saint Jack', 'The Family Arsenal', 'The Mosquito Coast (novel)', 'Doctor Slaughter', 'O-Zone (novel)', 'My Secret History', 'Millroy the Magician', 'Kowloon Tong (novel)', 'Blinding Light', 'The Great Railway Bazaar', 'Riding the Iron Rooster', 'The Happy Isles of Oceania', 'Ghost Train to the Eastern Star']"
21,Tom Clancy,1947.0,['\nTechno-thriller\nPolitical thriller\nMilitary fiction\nSpy fiction\nRealistic fiction\n'],"['Submarine (Clancy book)', 'Fighter Wing: A Guided Tour of an Air Force Combat Wing', 'Marine (book)', 'The Hunt for Red October', 'Patriot Games', 'The Cardinal of the Kremlin', 'Clear and Present Danger', 'The Sum of All Fears', 'Debt of Honor', 'Executive Orders', 'The Bear and the Dragon', 'Red Rabbit', 'The Teeth of the Tiger', 'Without Remorse', 'Rainbow Six (novel)', ""Tom Clancy's Op-Center (novel)"", ""Tom Clancy's Op-Center: Mirror Image"", ""Tom Clancy's Net Force Explorers: Virtual Vandals"", ""Tom Clancy's Net Force Explorers: The Deadliest Game"", ""Tom Clancy's Splinter Cell"", ""Tom Clancy's Splinter Cell"", ""Tom Clancy's Splinter Cell"", ""Tom Clancy's Splinter Cell"", ""Tom Clancy's Splinter Cell"", ""Tom Clancy's Splinter Cell"", ""Tom Clancy's Ghost Recon"", 'The Hunt for Red October', 'Patriot Games', 'The Cardinal of the Kremlin', 'Clear and Present Danger', 'The Sum of All Fears', 'Without Remorse', 'Debt of Honor', 'Executive Orders', 'Rainbow Six (novel)', 'The Bear and the Dragon', 'Red Rabbit', 'The Teeth of the Tiger', 'Dead or Alive (novel)', 'Locked On (novel)', 'Against All Enemies (novel)', 'Threat Vector', 'Command Authority', 'Support and Defend', 'Commander in Chief (novel)', 'True Faith and Allegiance', 'Under Fire (Blackwood novel)', 'Duty and Honor (novel)', 'Point of Contact (novel)', 'Line of Sight (novel)', 'Enemy Contact', 'Firing Point', 'Power and Empire', 'Oath of Office (novel)', 'Code of Honor (Cameron novel)']"
22,Gabriel García Márquez,1927.0,"
Novels
short stories
",[]
23,Lorenzo Carcaterra,1954.0,,[]
24,Daphne du Maurier,1907.0,,"['The Martian (du Maurier novel)', 'Jamaica Inn (novel)', 'Rebecca (novel)', ""Frenchman's Creek (novel)"", 'Hungry Hill (novel)', ""The King's General"", 'The Parasites', 'My Cousin Rachel', 'Mary Anne (novel)', 'The Scapegoat (Du Maurier novel)', 'Castle Dor', 'The House on the Strand', 'Rule Britannia (novel)', 'Rebecca (novel)']"
25,Carl Sagan,1934.0,['Science fiction'],"['The Cosmic Connection', 'Mars and the Mind of Man', 'The Dragons of Eden', ""Broca's Brain"", 'The Cold and the Dark', 'Comet (book)', 'Shadows of Forgotten Ancestors (book)', 'Pale Blue Dot (book)', 'The Demon-Haunted World', 'Billions and Billions', 'The Varieties of Scientific Experience', 'Contact (novel)']"
26,Ruth Rendell,1930.0,,"['Some Lie and Some Die', 'A Sleeping Life', 'The Speaker of Mandarin', 'An Unkindness of Ravens', 'The Veiled One', ""Kissing the Gunner's Daughter"", 'Simisola', 'The Babes in the Wood', 'End in Tears', 'The Monster in the Box', 'The Vault (novel)', ""No Man's Nightingale"", 'To Fear a Painted Devil', 'One Across, Two Down', 'The Face of Trespass', 'A Demon in My View', 'A Judgement in Stone', 'Make Death Love Me', 'The Lake of Darkness', 'The Tree of Hands', 'The Bridesmaid', 'The Keys to the Street', 'The Rottweiler', 'Thirteen Steps Down', 'Portobello (novel)', ""Tigerlily's Orchids"", 'The Saint Zita Society', 'The Girl Next Door (Rendell novel)', 'Dark Corners (novel)', 'A Fatal Inversion', 'Gallowglass (novel)', ""King Solomon's Carpet"", 'No Night Is Too Long (novel)', 'The Brimstone Wedding', 'The Blood Doctor', 'The Minotaur (novel)', ""The Child's Child""]"
27,Robert James Waller,1939.0,,"['Orphans of the Sky', ""Methuselah's Children"", 'The Moon Is a Harsh Mistress', 'Time Enough for Love', 'The Number of the Beast (novel)', 'The Cat Who Walks Through Walls', 'To Sail Beyond the Sunset', ""Methuselah's Children"", 'Orphans of the Sky', 'Time Enough for Love', 'The Number of the Beast (novel)', 'The Cat Who Walks Through Walls', 'To Sail Beyond the Sunset', 'The Number of the Beast (novel)', 'Space Cadet', 'Red Planet (novel)', 'Farmer in the Sky', 'Between Planets', 'The Rolling Stones (novel)', 'The Star Beast (novel)', 'Tunnel in the Sky', 'Time for the Stars', 'Citizen of the Galaxy', 'Have Space Suit—Will Travel', 'Beyond This Horizon', 'Sixth Column', 'The Puppet Masters', 'Double Star', 'The Door into Summer', 'Starship Troopers', 'Stranger in a Strange Land', 'Podkayne of Mars', 'Glory Road', ""Farnham's Freehold"", 'The Moon Is a Harsh Mistress', 'I Will Fear No Evil', 'Friday (novel)', 'Job: A Comedy of Justice', 'Expanded Universe (book)']"
28,David Baldacci,1960.0,,"['Split Second (novel)', 'Hour Game', 'Simple Genius', 'First Family (novel)', 'The Sixth Man (novel)', 'King and Maxwell (novel)', 'The Camel Club (novel)', 'The Collectors (novel)', 'Stone Cold (Baldacci novel)', 'Divine Justice (novel)', ""Hell's Corner"", 'The Whole Truth (novel)', 'The Forgotten (Baldacci novel)', 'The Escape (Baldacci novel)', ""No Man's Land (Baldacci novel)"", 'The Innocent (Baldacci novel)', 'The Guilty (Baldacci novel)', 'Memory Man (novel)', 'Absolute Power (novel)', 'Total Control (novel)', 'The Winner (novel)', 'The Simple Truth', 'Wish You Well (novel)', 'Last Man Standing (novel)', 'The Christmas Train', 'True Blue (novel)', 'The Camel Club (novel)', 'The Collectors (novel)', 'Stone Cold (Baldacci novel)', 'Divine Justice (novel)', ""Hell's Corner"", 'Split Second (novel)', 'Hour Game', 'Simple Genius', 'First Family (novel)', 'The Sixth Man (novel)', 'King and Maxwell (novel)', 'The Whole Truth (novel)', 'Deliver Us from Evil (novel)', 'Zero Day (novel)', 'The Forgotten (Baldacci novel)', 'The Escape (Baldacci novel)', 'The Innocent (Baldacci novel)', 'The Hit (novel)', 'The Target (novel)', 'The Guilty (Baldacci novel)', 'Memory Man (novel)', 'Long Shadows (Baldacci novel)', 'Absolute Power (novel)', 'Total Control (novel)', 'The Winner (novel)', 'The Simple Truth', 'Wish You Well (novel)', 'Last Man Standing (novel)', 'The Christmas Train', 'True Blue (novel)', 'The 39 Clues']"
29,Douglas Adams,1952.0,['HumourScience fiction novel'],"[""The Hitchhiker's Guide to the Galaxy (novel)"", 'The Restaurant at the End of the Universe', 'Life, the Universe and Everything', 'So Long, and Thanks for All the Fish', 'Mostly Harmless', ""Douglas Adams's Starship Titanic: A Novel"", 'The Salmon of Doubt']"
30,Ray Bradbury,1920.0,['Horror novelette'],"['The Martian Chronicles', 'Fahrenheit 451', 'Dandelion Wine', 'Something Wicked This Way Comes (novel)', 'The Halloween Tree', 'Death Is a Lonely Business', 'A Graveyard for Lunatics', 'Green Shadows, White Whale', 'From the Dust Returned', ""Let's All Kill Constance"", 'Farewell Summer', 'The Golden Apples of the Sun', 'Twice 22', 'One More for the Road', 'A Pleasure to Burn', 'The Martian Chronicles', 'Fahrenheit 451', 'Dandelion Wine', 'The Mummies of Guanajuato']"
31,Arundhati Roy,1961.0,"Fiction, non-fiction",[]
32,James Patterson,1947.0,"Mystery, young adult fiction, thriller, comedy, realistic fiction, romance, science fiction, fantasy",[]
33,Arthur Golden,1956.0,['Science fiction'],"['2001: A Space Odyssey (novel)', '2061: Odyssey Three', '3001: The Final Odyssey', 'The Sands of Mars', 'Islands in the Sky', ""Childhood's End"", 'Earthlight', 'The City and the Stars', 'The Deep Range', 'Dolphin Island (novel)', 'Glide Path', 'Imperial Earth', 'The Ghost from the Grand Banks', 'The Hammer of God (Clarke novel)']"
34,Nicholas Sparks,1965.0,,"['The Notebook (novel)', 'Message in a Bottle (novel)', 'A Walk to Remember (novel)', 'The Rescue (Sparks novel)', 'A Bend in the Road', 'Nights in Rodanthe (novel)', 'The Guardian (novel)', 'The Wedding (Sparks novel)', 'True Believer (Sparks novel)', 'At First Sight (novel)', 'Dear John (novel)', 'The Choice (novel)', 'The Lucky One (novel)', 'The Last Song (novel)', 'Safe Haven (novel)', 'The Best of Me (novel)', 'The Longest Ride (novel)', 'See Me (novel)', 'Three Weeks with My Brother', 'A Walk to Remember']"
35,Stephen King,1947.0,,"[""Lisey's Story (miniseries)"", 'Heroes for Hope', 'American Vampire']"
36,Dan Brown,1964.0,"['Crime', ' mystery', ' thriller']","['Digital Fortress', 'Deception Point', 'Angels &amp; Demons', 'The Da Vinci Code', 'The Lost Symbol', 'Inferno (Brown novel)', 'Angels &amp; Demons', 'The Da Vinci Code', 'The Lost Symbol', 'Inferno (Brown novel)', 'Origin (Brown novel)', 'Digital Fortress', 'Deception Point']"
37,Gregory Maguire,1954.0,,"['Son of a Witch', 'Son of a Witch', 'A Lion Among Men', 'Out of Oz', 'Confessions of an Ugly Stepsister', 'Lost (Maguire novel)', 'Mirror, Mirror (novel)', 'The Wonderful Wizard of Oz', 'The Marvelous Land of Oz', 'Ozma of Oz', 'Dorothy and the Wizard in Oz', 'The Road to Oz', 'The Patchwork Girl of Oz', 'Tik-Tok of Oz', 'The Scarecrow of Oz', 'Rinkitink in Oz', 'The Lost Princess of Oz', 'The Tin Woodman of Oz', 'The Magic of Oz', 'Glinda of Oz', 'Kabumpo in Oz', 'Jack Pumpkinhead of Oz', 'The Yellow Knight of Oz', 'Pirates in Oz', 'The Purple Prince of Oz', 'Captain Salt in Oz', 'Handy Mandy in Oz', 'The Silver Princess in Oz', 'Yankee in Oz', 'The Enchanted Island of Oz', 'The Wonder City of Oz', 'The Scalawagons of Oz', 'Merry Go Round in Oz', 'The Forbidden Fountain of Oz', 'The Ozmapolitan of Oz', 'The Wicked Witch of Oz', 'The Giant Garden of Oz', 'The Runaway in Oz', 'The Rundelstone of Oz', 'The Emerald Wand of Oz', 'Trouble Under Oz', 'Dorothy of Oz (book)', 'Lion of Oz and the Badge of Courage', 'The Wizard of Oz (1902 musical)', 'The Tik-Tok Man of Oz', 'The Wizard of Oz (1987 musical)', 'The Magic Cloak of Oz', 'Return to Oz', 'Dorothy and the Witches of Oz', 'Oz the Great and Powerful', ""Legends of Oz: Dorothy's Return"", 'Guardians of Oz', 'The Wizard of the Emerald City', 'A Barnstormer in Oz', 'Mister Tinker in Oz', 'Sir Harold and the Gnome King', 'Was (novel)', 'Queen Ann in Oz', 'The Magic Dishpan of Oz', 'Visitors from Oz', 'Paradox in Oz', 'The Hidden Prince of Oz', 'The Unknown Witches of Oz', 'Bloodstained Oz', 'The Secret Order of the Gumm Street Girls', 'Dorothy Must Die', 'The Wicked Will Rise', 'Oz Squad', 'The Wonderful Wizard of Oz (2005 graphic novel)', 'The Wonderful Wizard of Oz (2009 comics)', 'The Marvelous Land of Oz (comics)', 'Emerald City Confidential']"
38,Yann Martel,1963.0,,[]
39,Anita Shreve,1946.0,['Fiction'],"[""The Pilot's Wife"", 'Sea Glass', 'Testimony (Shreve novel)', 'Stella Bain']"
40,Terry Pratchett,1948.0,,[]
41,Mary O'Hara,,,[]
42,Kenneth Grahame,1859.0,"['Comic novel', ' horror', ' historical', ' thriller']","['Pride and Prejudice and Zombies', 'Abraham Lincoln, Vampire Hunter (novel)', 'The Last American Vampire']"
43,Georgette Heyer,1902.0,"['Regency', ' Romance']","['Simon the Coldheart', 'Beauvallet', 'The Conqueror (novel)', 'Royal Escape', 'The Black Moth', 'Powder and Patch', 'The Masqueraders', ""Devil's Cub"", 'The Convenient Marriage', 'Regency Buck', 'The Talisman Ring', 'An Infamous Army', 'The Spanish Bride', 'The Corinthian (novel)', ""Faro's Daughter"", ""Friday's Child (novel)"", 'The Reluctant Widow', 'The Foundling (Heyer novel)', 'Arabella (novel)', 'The Grand Sophy', 'The Quiet Gentleman', 'Cotillion (novel)', 'The Toll-Gate', 'Bath Tangle', 'Sprig Muslin', 'Sylvester, or the Wicked Uncle', 'Venetia (Heyer novel)', 'A Civil Contract', 'The Nonesuch', 'False Colours', 'Frederica (novel)', 'Black Sheep (Heyer novel)', 'Charity Girl', 'Lady of Quality']"
44,Roald Dahl,1916.0,,"['The Gremlins', 'James and the Giant Peach', 'Charlie and the Chocolate Factory', 'Fantastic Mr Fox', 'Charlie and the Great Glass Elevator', 'Danny, the Champion of the World', 'The Enormous Crocodile', 'The Twits', ""George's Marvellous Medicine"", 'The BFG', 'The Witches (novel)', 'The Giraffe and the Pelly and Me', 'Matilda (novel)', 'Esio Trot', 'The Minpins', 'Some Time Never: A Fable for Supermen', 'My Uncle Oswald', 'Switch Bitch', 'Going Solo', 'My Year', 'Matilda the Musical']"
45,A. S. Byatt,1936.0,"['Postmodern detective', ' Cyberpunk', ' Science fiction']",[]
46,George Orwell,1903.0,,"['Burmese Days', ""A Clergyman's Daughter"", 'Keep the Aspidistra Flying', 'Coming Up for Air', 'Animal Farm', 'Nineteen Eighty-Four', 'The Road to Wigan Pier', 'Inside the Whale and Other Essays']"
47,Isabel Allende,1942.0,,[]
48,Enid Blyton,1897.0,,['The Young Adventurers']
49,Tom Wolfe,1930.0,['Fiction novel'],"['The Electric Kool-Aid Acid Test', 'The Right Stuff (book)', 'The Bonfire of the Vanities', 'The Electric Kool-Aid Acid Test', 'Radical Chic &amp; Mau-Mauing the Flak Catchers', 'The Painted Word', 'Mauve Gloves &amp; Madmen, Clutter &amp; Vine', 'The Right Stuff (book)', 'In Our Time (Tom Wolfe book)', 'Hooking Up', 'The Bonfire of the Vanities', 'A Man in Full', 'I Am Charlotte Simmons', 'Back to Blood', 'The Bonfire of the Vanities', 'A Man in Full', 'I Am Charlotte Simmons', 'Back to Blood', 'The Electric Kool-Aid Acid Test', 'Radical Chic &amp; Mau-Mauing the Flak Catchers', 'The Painted Word', 'The Right Stuff (book)', 'Mauve Gloves &amp; Madmen, Clutter &amp; Vine', 'Hooking Up']"
50,Karen Armstrong,1944.0,,[]
51,T. Coraghessan Boyle,1948.0,,"['Budding Prospects', ""World's End (Boyle novel)"", 'East Is East (novel)', 'The Road to Wellville', 'The Tortilla Curtain', 'Riven Rock', 'A Friend of the Earth', 'Drop City (novel)', 'Talk Talk (novel)', 'The Women (novel)', ""When the Killing's Done"", 'The Harder They Come (novel)', 'Outside Looking In (novel)', 'Water Music (novel)', 'Budding Prospects', ""World's End (Boyle novel)"", 'East Is East (novel)', 'The Road to Wellville', 'The Tortilla Curtain', 'Riven Rock', 'A Friend of the Earth', 'Drop City (novel)', 'The Inner Circle (Boyle novel)', 'Talk Talk (novel)', 'The Women (novel)', ""When the Killing's Done"", 'The Harder They Come (novel)', 'Outside Looking In (novel)']"
52,Muriel Spark,1918.0,,"['The Comforters', 'Robinson (novel)', 'Memento Mori (novel)', 'The Ballad of Peckham Rye', 'The Bachelors (novel)', 'The Prime of Miss Jean Brodie (novel)', 'The Girls of Slender Means', 'The Mandelbaum Gate', 'Not To Disturb', 'The Hothouse by the East River', 'The Abbess of Crewe', 'The Takeover (novel)', 'Territorial Rights', 'The Only Problem', 'A Far Cry from Kensington', 'Symposium (novel)', 'Reality and Dreams', 'Aiding and Abetting (novel)', 'The Finishing School (Spark novel)', 'The Comforters', 'Robinson (novel)', 'Memento Mori (novel)', 'The Ballad of Peckham Rye', 'The Bachelors (novel)', 'The Prime of Miss Jean Brodie (novel)', 'The Girls of Slender Means', 'The Mandelbaum Gate', 'The Public Image', ""The Driver's Seat (novel)"", 'Not To Disturb', 'The Hothouse by the East River', 'The Abbess of Crewe', 'The Takeover (novel)', 'Territorial Rights', 'Loitering with Intent', 'The Only Problem', 'Symposium (novel)', 'Reality and Dreams', 'Aiding and Abetting (novel)', 'The Finishing School (Spark novel)']"
53,Paul Reiser,1956.0,,[]
54,Charles de Lint,1951.0,['Urban fantasy'],['Widdershins (novel)']
55,Sarah Waters,1966.0,,"['The Handmaiden', 'Tipping the Velvet', 'Affinity (novel)', 'Fingersmith (novel)', 'The Night Watch (Waters novel)', 'The Little Stranger', 'The Paying Guests', 'The Night Watch (Waters novel)', 'The Handmaiden']"
56,Ann Patchett,1963.0,,['An Exact Replica of a Figment of My Imagination']
57,Sue Monk Kidd,1948.0,"Fiction, Historical Fiction, Memoir",[]
58,Colleen McCullough,1937.0,['Historical novel'],"['Tim (novel)', 'The Thorn Birds', 'An Indecent Obsession', 'The Ladies of Missalonghi', 'The First Man in Rome (novel)', 'The Grass Crown (novel)', ""Caesar's Women"", 'Caesar (McCullough novel)', 'The October Horse', 'Tim (novel)', 'The Thorn Birds', 'An Indecent Obsession', 'The Ladies of Missalonghi', ""Morgan's Run"", 'The Touch (McCullough novel)', 'The First Man in Rome (novel)', 'The Grass Crown (novel)', ""Caesar's Women"", 'Caesar (McCullough novel)', 'The October Horse']"
59,Antoine de Saint-Exupéry,1900.0,"Autobiography, belles-lettres, essays, children's literature",[]
60,Richard Bach,1936.0,['Philosophical novelSpiritualSelf-Help'],"['Illusions (Bach novel)', 'One (Bach novel)', 'Illusions II: The Adventures of a Reluctant Student']"
61,Mark Twain,1835.0,['Detective fiction'],"['The Prince and the Pauper', ""A Connecticut Yankee in King Arthur's Court"", 'The American Claimant', ""Pudd'nhead Wilson"", 'Personal Recollections of Joan of Arc', ""A Horse's Tale"", 'The Adventures of Tom Sawyer', 'Adventures of Huckleberry Finn', 'Tom Sawyer Abroad', 'Tom Sawyer, Detective']"
62,Thomas Harris,1940.0,"['Thriller', ' horror', ' psychological thriller']","['Black Sunday (novel)', 'Red Dragon (novel)', 'The Silence of the Lambs (novel)', 'Hannibal (Harris novel)', 'Hannibal Rising', 'Red Dragon (novel)', 'The Silence of the Lambs (novel)', 'Hannibal (Harris novel)', 'Hannibal Rising']"
63,Dorothy Allison,1949.0,['Oral history'],"['Les Guérillères', 'Lesbian Nation', 'Lover (novel)', 'The Wanderground', 'Boots of Leather, Slippers of Gold']"
64,Margaret Atwood,1939.0,,"['Surfacing (novel)', ""The Handmaid's Tale"", ""Cat's Eye (novel)"", 'Alias Grace', 'The Blind Assassin', 'Oryx and Crake', 'The Testaments', 'The Edible Woman', 'Surfacing (novel)', 'Lady Oracle', 'Bodily Harm (novel)', 'Good Bones and Simple Murders', 'The Labrador Fiasco', 'The Journals of Susanna Moodie', 'Procedures for Underground', 'Two-Headed Poems', 'Payback: Debt and the Shadow Side of Wealth', 'The Edible Woman', 'Surfacing (novel)', 'Lady Oracle', 'Life Before Man', 'Bodily Harm (novel)', ""The Handmaid's Tale"", ""Cat's Eye (novel)"", 'The Robber Bride', 'Alias Grace', 'The Blind Assassin', 'Oryx and Crake', 'The Penelopiad', 'The Year of the Flood', 'MaddAddam', 'The Heart Goes Last', 'Hag-Seed', 'The Testaments', 'Good Bones and Simple Murders', 'The Labrador Fiasco', 'The Tent (Atwood book)', 'The Journals of Susanna Moodie', 'Procedures for Underground', 'Power Politics (poetry collection)', 'Two-Headed Poems', 'Morning in the Burned House', 'The Door (poetry collection)', 'Payback: Debt and the Shadow Side of Wealth', ""The Handmaid's Tale"", 'The Testaments']"
